RFI_ID,Project_ID,RFI_Number,RFI_Title,Discipline,Priority,RFI_Type,Submitted_Date,Required_Response_Date,First_Response_Date,Final_Response_Date,Closed_Date,RFI_Status,Submitted_By_Role,Responsible_Role,Revision_Count,Reopen_Count,Cost_Impact_Flag,Estimated_Cost_Impact,Actual_Cost_Impact,Schedule_Impact_Flag,Estimated_Schedule_Days,Actual_Schedule_Days,Field_Work_Affected,Drawing_Reference_Count,Response_Quality_Rating
RFI-00018,PRJ-001,RFI-0018,General Design Clarification - Area C8,General,Low,Design Clarification,2025-03-07,2025-03-22,2025-03-14,2025-03-14,2025-03-16,Closed,General Contractor,Owner Representative,0,0,No,0,0,No,0,0,No,1,5
RFI-00019,PRJ-001,RFI-0019,General Constructability - Area B10,General,High,Constructability,2024-09-11,2024-09-16,2024-09-15,2024-09-15,2024-09-18,Closed,Subcontractor,Construction Manager,0,0,No,0,0,No,0,0,No,0,5
RFI-00020,PRJ-001,RFI-0020,Plumbing Coordination Conflict - Area E8,Plumbing,Medium,Coordination Conflict,2025-02-17,2025-03-01,2025-02-21,2025-02-21,2025-02-23,Closed,Construction Manager,Engineer,0,0,Yes,21000,18000,No,0,0,Yes,2,5
RFI-00021,PRJ-001,RFI-0021,Architectural Field Condition - Area D9,Architectural,Low,Field Condition,2024-10-29,2024-11-11,,,,In Review,General Contractor,Architect,0,0,Yes,11000,15000,No,0,0,No,6,5
RFI-00022,PRJ-001,RFI-0022,Electrical Constructability - Area B1,Electrical,Low,Constructability,2024-08-29,2024-09-13,2024-09-06,2024-09-06,2024-09-10,Closed,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,5,5
RFI-00023,PRJ-001,RFI-0023,Mechanical Code Compliance - Area A7,Mechanical,Medium,Code Compliance,2024-10-14,2024-10-25,2024-10-22,2024-10-22,2024-10-25,Closed,General Contractor,Engineer,0,0,No,0,0,No,0,0,No,1,5
RFI-00024,PRJ-001,RFI-0024,Mechanical Field Condition - Area B9,Mechanical,Medium,Field Condition,2024-12-04,2024-12-14,2024-12-10,2024-12-10,2024-12-13,Closed,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,0,5
RFI-00025,PRJ-001,RFI-0025,Specialty Systems Design Clarification - Area D6,Specialty Systems,Low,Design Clarification,2024-06-17,2024-07-01,2024-06-25,2024-06-25,2024-06-25,Closed,Subcontractor,Design Manager,0,0,No,0,0,No,0,0,No,4,5
RFI-00026,PRJ-001,RFI-0026,General Field Condition - Area B10,General,High,Field Condition,2024-06-04,2024-06-08,2024-06-08,2024-06-08,2024-06-12,Closed,Subcontractor,Construction Manager,0,0,No,0,0,No,0,0,No,5,5
RFI-00027,PRJ-001,RFI-0027,General Field Condition - Area A8,General,High,Field Condition,2024-12-02,2024-12-08,2024-12-10,2024-12-10,2024-12-11,Closed,Construction Manager,Construction Manager,0,0,No,0,0,No,0,0,No,1,4
RFI-00028,PRJ-001,RFI-0028,Structural Constructability - Area E5,Structural,Low,Constructability,2024-07-21,2024-08-04,2024-07-27,2024-07-27,,Answered,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,2,5
RFI-00029,PRJ-001,RFI-0029,Structural Missing Information - Area C9,Structural,Medium,Missing Information,2025-03-09,2025-03-21,2025-03-11,2025-03-11,2025-03-11,Closed,General Contractor,Engineer,0,0,No,0,0,No,0,0,No,5,5
RFI-00030,PRJ-002,RFI-0001,Civil Missing Information - Area A12,Civil,Critical,Missing Information,2022-11-18,2022-11-22,2022-11-28,2022-11-28,,Answered,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,6,4
RFI-00031,PRJ-002,RFI-0002,Structural Coordination Conflict - Area E8,Structural,Medium,Coordination Conflict,2024-02-07,2024-02-18,2024-02-24,2024-02-24,2024-02-25,Closed,General Contractor,Engineer,0,1,No,0,0,Yes,3,3,No,1,5
RFI-00032,PRJ-002,RFI-0003,Specialty Systems Design Clarification - Area C1,Specialty Systems,Medium,Design Clarification,2024-03-14,2024-03-24,2024-03-17,,,Awaiting Owner,General Contractor,Design Manager,0,0,Yes,48000,35000,No,0,0,No,2,5
RFI-00033,PRJ-002,RFI-0004,Architectural Field Condition - Area C9,Architectural,High,Field Condition,2023-09-24,2023-09-29,2023-10-04,2023-10-04,,Answered,Subcontractor,Architect,0,0,Yes,43000,34000,No,0,0,Yes,2,5
RFI-00034,PRJ-002,RFI-0005,Controls Design Clarification - Area C2,Controls,Medium,Design Clarification,2024-02-16,2024-02-25,2024-02-26,2024-02-26,,Answered,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,4,5
RFI-00035,PRJ-002,RFI-0006,Structural Design Clarification - Area A8,Structural,Medium,Design Clarification,2023-12-09,2023-12-19,2023-12-20,2023-12-20,,Answered,Construction Manager,Engineer,0,0,No,0,0,No,0,0,No,1,5
RFI-00036,PRJ-002,RFI-0007,Architectural Missing Information - Area D10,Architectural,Medium,Missing Information,2024-01-02,2024-01-14,2024-01-13,2024-01-13,2024-01-14,Closed,Subcontractor,Architect,0,0,No,0,0,No,0,0,No,1,5
RFI-00037,PRJ-002,RFI-0008,Mechanical Constructability - Area E7,Mechanical,Medium,Constructability,2023-02-18,2023-02-27,2023-03-03,2023-03-03,2023-03-06,Closed,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,4,5
RFI-00038,PRJ-002,RFI-0009,Mechanical Design Clarification - Area D11,Mechanical,High,Design Clarification,2022-07-09,2022-07-13,2022-07-25,2022-07-29,2022-08-01,Closed,General Contractor,Engineer,1,0,Yes,27000,32000,Yes,2,2,Yes,5,3
RFI-00039,PRJ-002,RFI-0010,Specialty Systems Missing Information - Area E10,Specialty Systems,Medium,Missing Information,2023-07-11,2023-07-22,2023-07-25,2023-07-26,,Answered,General Contractor,Owner Representative,1,0,No,0,0,No,0,0,No,3,3
RFI-00040,PRJ-002,RFI-0011,Mechanical Missing Information - Area E12,Mechanical,Low,Missing Information,2024-07-06,2024-07-19,2024-07-20,2024-07-20,2024-07-24,Closed,Construction Manager,Engineer,0,0,Yes,2800,3700,No,0,0,Yes,6,5
RFI-00041,PRJ-002,RFI-0012,Mechanical Design Clarification - Area D3,Mechanical,Low,Design Clarification,2023-06-09,2023-06-24,2023-06-24,2023-06-24,,Answered,Construction Manager,Engineer,0,0,No,0,0,No,0,0,No,2,5
RFI-00042,PRJ-002,RFI-0013,Specialty Systems Missing Information - Area A5,Specialty Systems,Medium,Missing Information,2022-11-08,2022-11-17,2022-12-06,2022-12-09,2022-12-10,Closed,Subcontractor,Design Manager,1,0,No,0,0,Yes,2,2,Yes,0,3
RFI-00043,PRJ-002,RFI-0014,Specialty Systems Field Condition - Area B2,Specialty Systems,Low,Field Condition,2023-10-11,2023-10-25,2023-11-10,2023-11-10,2023-11-10,Closed,General Contractor,Owner Representative,0,0,Yes,12000,10000,Yes,1,1,Yes,1,5
RFI-00044,PRJ-002,RFI-0015,Controls Coordination Conflict - Area B4,Controls,Medium,Coordination Conflict,2024-02-21,2024-03-02,2024-02-27,2024-02-27,2024-02-28,Closed,General Contractor,Engineer,0,0,No,0,0,No,0,0,No,6,5
RFI-00045,PRJ-002,RFI-0016,Controls Coordination Conflict - Area C10,Controls,Medium,Coordination Conflict,2024-03-23,2024-04-03,2024-03-29,2024-03-29,2024-04-01,Closed,Subcontractor,Engineer,0,0,No,0,0,Yes,1,1,No,3,4
RFI-00046,PRJ-002,RFI-0017,Mechanical Design Clarification - Area A1,Mechanical,Medium,Design Clarification,2022-08-23,2022-09-02,2022-09-04,2022-09-04,2022-09-08,Closed,General Contractor,Engineer,0,0,No,0,0,No,0,0,No,5,5
RFI-00047,PRJ-002,RFI-0018,Specialty Systems Missing Information - Area C6,Specialty Systems,High,Missing Information,2023-11-11,2023-11-17,,,,Open,Construction Manager,Design Manager,1,1,No,0,0,Yes,6,4,Yes,5,2
RFI-00048,PRJ-002,RFI-0019,Plumbing Constructability - Area B2,Plumbing,Low,Constructability,2023-04-10,2023-04-25,2023-04-19,2023-04-19,2023-04-19,Closed,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,0,5
RFI-00049,PRJ-002,RFI-0020,Mechanical Constructability - Area C6,Mechanical,Medium,Constructability,2024-06-17,2024-06-29,,,,Open,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,1,5
RFI-00050,PRJ-002,RFI-0021,Structural Code Compliance - Area D11,Structural,Low,Code Compliance,2024-03-16,2024-03-30,2024-03-30,2024-03-31,2024-04-01,Closed,General Contractor,Engineer,1,0,No,0,0,No,0,0,No,3,4
RFI-00051,PRJ-002,RFI-0022,Civil Code Compliance - Area E3,Civil,Medium,Code Compliance,2023-03-17,2023-03-28,2023-03-27,2023-03-27,,Answered,Subcontractor,Owner Representative,0,0,No,0,0,No,0,0,No,6,4
RFI-00052,PRJ-002,RFI-0023,Electrical Field Condition - Area D1,Electrical,Medium,Field Condition,2023-12-14,2023-12-24,2023-12-23,2023-12-23,,Answered,General Contractor,Engineer,0,0,No,0,0,No,0,0,No,6,5
RFI-00053,PRJ-002,RFI-0024,Electrical Coordination Conflict - Area D3,Electrical,Medium,Coordination Conflict,2023-01-24,2023-02-02,2023-02-04,2023-02-08,2023-02-10,Closed,Construction Manager,Engineer,1,0,No,0,0,No,0,0,No,3,5
RFI-00054,PRJ-002,RFI-0025,Plumbing Design Clarification - Area E7,Plumbing,Medium,Design Clarification,2024-06-02,2024-06-11,2024-06-09,2024-06-09,,Answered,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,6,5
RFI-00055,PRJ-002,RFI-0026,Plumbing Substitution Request - Area E5,Plumbing,Low,Substitution Request,2022-12-25,2023-01-07,2023-01-10,2023-01-10,2023-01-11,Closed,General Contractor,Engineer,0,1,No,0,0,No,0,0,No,6,5
RFI-00056,PRJ-002,RFI-0027,Plumbing Substitution Request - Area C6,Plumbing,Medium,Substitution Request,2024-05-26,2024-06-05,2024-06-02,2024-06-03,2024-06-04,Closed,Construction Manager,Engineer,1,0,No,0,0,Yes,1,1,Yes,5,4
RFI-00057,PRJ-002,RFI-0028,Civil Design Clarification - Area B10,Civil,Low,Design Clarification,2022-06-12,2022-06-28,2022-06-21,2022-06-21,,Answered,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,0,5
RFI-00058,PRJ-002,RFI-0029,Structural Constructability - Area A5,Structural,High,Constructability,2022-12-05,2022-12-10,2022-12-24,2022-12-28,2022-12-30,Closed,General Contractor,Engineer,1,0,Yes,15000,16000,Yes,3,3,Yes,6,1
RFI-00059,PRJ-002,RFI-0030,Architectural Coordination Conflict - Area D4,Architectural,Medium,Coordination Conflict,2023-02-10,2023-02-22,2023-02-18,2023-02-18,2023-02-22,Closed,Subcontractor,Architect,0,0,No,0,0,Yes,3,4,Yes,0,3
RFI-00060,PRJ-002,RFI-0031,Architectural Design Clarification - Area B6,Architectural,Medium,Design Clarification,2024-04-19,2024-04-30,2024-04-29,2024-04-29,2024-05-02,Closed,Subcontractor,Architect,0,0,Yes,30000,39000,No,0,0,No,3,5
RFI-00061,PRJ-002,RFI-0032,Architectural Missing Information - Area B5,Architectural,Medium,Missing Information,2024-01-11,2024-01-22,2024-01-17,2024-01-17,2024-01-21,Closed,Subcontractor,Architect,0,0,Yes,7400,6100,No,0,0,Yes,4,5
RFI-00062,PRJ-002,RFI-0033,Civil Coordination Conflict - Area B11,Civil,Medium,Coordination Conflict,2022-10-02,2022-10-14,2022-10-16,2022-10-16,2022-10-16,Closed,Subcontractor,Owner Representative,0,0,Yes,7000,6400,No,0,0,No,1,5
RFI-00063,PRJ-002,RFI-0034,Architectural Missing Information - Area D3,Architectural,Medium,Missing Information,2022-06-25,2022-07-06,2022-07-12,2022-07-12,,Answered,Subcontractor,Architect,0,0,No,0,0,No,0,0,No,4,4
RFI-00064,PRJ-002,RFI-0035,Electrical Constructability - Area A7,Electrical,High,Constructability,2022-09-27,2022-10-01,2022-10-09,2022-10-09,2022-10-10,Closed,Construction Manager,Engineer,0,0,No,0,0,No,0,0,No,4,4
RFI-00065,PRJ-002,RFI-0036,Architectural Substitution Request - Area B3,Architectural,Low,Substitution Request,2024-03-26,2024-04-09,2024-04-01,2024-04-01,2024-04-05,Closed,Construction Manager,Architect,0,0,No,0,0,No,0,0,No,4,5
RFI-00066,PRJ-002,RFI-0037,Fire Protection Coordination Conflict - Area A3,Fire Protection,High,Coordination Conflict,2023-10-05,2023-10-12,,,,Awaiting Owner,Construction Manager,Owner Representative,1,1,Yes,46000,66000,Yes,2,2,Yes,0,4
RFI-00067,PRJ-002,RFI-0038,Mechanical Coordination Conflict - Area C6,Mechanical,Medium,Coordination Conflict,2024-02-24,2024-03-05,2024-03-04,2024-03-04,,Answered,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,0,4
RFI-00068,PRJ-002,RFI-0039,Mechanical Substitution Request - Area E6,Mechanical,Medium,Substitution Request,2024-03-06,2024-03-18,2024-03-30,2024-03-30,2024-04-01,Closed,General Contractor,Engineer,0,0,No,0,0,No,0,0,No,2,4
RFI-00069,PRJ-002,RFI-0040,Electrical Design Clarification - Area D8,Electrical,Low,Design Clarification,2022-07-27,2022-08-12,2022-08-27,2022-08-30,2022-08-30,Closed,General Contractor,Engineer,1,0,No,0,0,Yes,1,1,Yes,3,2
RFI-00070,PRJ-002,RFI-0041,Fire Protection Coordination Conflict - Area D1,Fire Protection,Medium,Coordination Conflict,2023-05-17,2023-05-26,2023-05-25,2023-05-25,2023-05-25,Closed,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,6,5
RFI-00071,PRJ-002,RFI-0042,Structural Constructability - Area C11,Structural,High,Constructability,2023-01-09,2023-01-15,2023-01-21,2023-01-22,,Answered,General Contractor,Engineer,1,0,Yes,13000,9800,No,0,0,No,1,5
RFI-00072,PRJ-002,RFI-0043,Architectural Missing Information - Area A8,Architectural,High,Missing Information,2022-12-27,2023-01-03,2023-01-12,,,Awaiting Designer,General Contractor,Architect,0,1,Yes,18000,25000,No,0,0,Yes,5,3
RFI-00073,PRJ-002,RFI-0044,Architectural Code Compliance - Area D7,Architectural,Low,Code Compliance,2023-12-23,2024-01-07,2024-01-03,2024-01-07,,Answered,Subcontractor,Architect,1,0,No,0,0,Yes,3,3,No,1,5
RFI-00074,PRJ-002,RFI-0045,Mechanical Design Clarification - Area E4,Mechanical,Critical,Design Clarification,2023-08-29,2023-08-31,,,,Open,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,6,5
RFI-00075,PRJ-002,RFI-0046,Plumbing Coordination Conflict - Area E7,Plumbing,Medium,Coordination Conflict,2023-06-11,2023-06-20,2023-06-19,2023-06-23,2023-06-23,Closed,General Contractor,Engineer,1,0,Yes,34000,48000,No,0,0,No,6,3
RFI-00076,PRJ-002,RFI-0047,Specialty Systems Design Clarification - Area A6,Specialty Systems,Medium,Design Clarification,2022-06-22,2022-07-02,2022-07-03,2022-07-07,2022-07-07,Closed,Subcontractor,Design Manager,1,0,Yes,26000,21000,No,0,0,Yes,1,5
RFI-00077,PRJ-002,RFI-0048,Electrical Constructability - Area E1,Electrical,Critical,Constructability,2024-06-16,2024-06-21,,,,Returned for Clarification,General Contractor,Engineer,0,0,No,0,0,No,0,0,No,4,5
RFI-00078,PRJ-002,RFI-0049,Structural Design Clarification - Area A5,Structural,High,Design Clarification,2022-03-18,2022-03-23,2022-03-27,2022-03-27,2022-03-29,Closed,General Contractor,Engineer,0,0,No,0,0,No,0,0,No,4,4
RFI-00079,PRJ-002,RFI-0050,Architectural Substitution Request - Area A3,Architectural,Medium,Substitution Request,2023-01-22,2023-01-31,2023-01-30,2023-01-30,2023-02-03,Closed,General Contractor,Architect,0,0,No,0,0,No,0,0,No,1,5
RFI-00080,PRJ-002,RFI-0051,Plumbing Field Condition - Area E11,Plumbing,Medium,Field Condition,2023-01-15,2023-01-24,2023-01-23,2023-01-23,,Answered,Construction Manager,Engineer,0,0,Yes,23000,24000,No,0,0,Yes,4,5
RFI-00081,PRJ-002,RFI-0052,Electrical Design Clarification - Area E5,Electrical,High,Design Clarification,2022-06-01,2022-06-07,2022-06-23,2022-06-27,2022-06-29,Closed,General Contractor,Engineer,1,0,No,0,0,Yes,9,8,No,0,3
RFI-00082,PRJ-002,RFI-0053,Plumbing Field Condition - Area D12,Plumbing,Medium,Field Condition,2022-06-17,2022-06-29,2022-06-25,2022-06-25,2022-06-27,Closed,Construction Manager,Owner Representative,0,0,No,0,0,No,0,0,No,6,5
RFI-00083,PRJ-002,RFI-0054,Controls Design Clarification - Area A4,Controls,Medium,Design Clarification,2022-08-23,2022-09-02,2022-08-27,2022-08-27,2022-08-27,Closed,General Contractor,Engineer,0,0,No,0,0,No,0,0,No,1,5
RFI-00084,PRJ-002,RFI-0055,Mechanical Coordination Conflict - Area A9,Mechanical,Medium,Coordination Conflict,2023-05-06,2023-05-18,2023-05-22,2023-05-26,2023-05-29,Closed,Subcontractor,Engineer,1,0,Yes,10000,8600,Yes,12,17,Yes,6,4
RFI-00085,PRJ-002,RFI-0056,Architectural Missing Information - Area D3,Architectural,Low,Missing Information,2022-07-22,2022-08-05,2022-08-07,2022-08-09,2022-08-09,Closed,General Contractor,Architect,1,0,No,0,0,No,0,0,No,4,4
RFI-00086,PRJ-002,RFI-0057,General Constructability - Area E9,General,High,Constructability,2023-06-27,2023-07-02,2023-07-09,2023-07-09,2023-07-09,Closed,General Contractor,Construction Manager,0,0,No,0,0,No,0,0,No,2,5
RFI-00087,PRJ-002,RFI-0058,Architectural Code Compliance - Area A12,Architectural,High,Code Compliance,2022-04-01,2022-04-05,2022-04-14,2022-04-15,2022-04-17,Closed,Construction Manager,Architect,1,0,No,0,0,No,0,0,No,0,4
RFI-00088,PRJ-002,RFI-0059,Specialty Systems Coordination Conflict - Area C7,Specialty Systems,Critical,Coordination Conflict,2023-09-11,2023-09-16,,,,In Review,Subcontractor,Design Manager,0,0,Yes,39000,43000,Yes,9,7,No,1,4
RFI-00089,PRJ-002,RFI-0060,Electrical Design Clarification - Area D5,Electrical,Low,Design Clarification,2023-08-28,2023-09-13,,,,Awaiting Owner,Construction Manager,Engineer,0,0,No,0,0,No,0,0,No,3,5
RFI-00090,PRJ-002,RFI-0061,Mechanical Constructability - Area D7,Mechanical,High,Constructability,2023-11-06,2023-11-10,2023-11-20,2023-11-21,2023-11-22,Closed,Construction Manager,Engineer,1,0,Yes,23000,30000,No,0,0,Yes,3,4
RFI-00091,PRJ-002,RFI-0062,Structural Missing Information - Area C6,Structural,Medium,Missing Information,2023-09-26,2023-10-05,2023-10-07,2023-10-09,,Answered,Subcontractor,Engineer,1,0,No,0,0,No,0,0,No,6,4
RFI-00092,PRJ-002,RFI-0063,Structural Coordination Conflict - Area A11,Structural,Medium,Coordination Conflict,2024-03-10,2024-03-19,2024-03-26,2024-03-27,2024-03-28,Closed,General Contractor,Engineer,1,0,No,0,0,Yes,2,2,Yes,2,5
RFI-00093,PRJ-002,RFI-0064,Mechanical Constructability - Area A12,Mechanical,Medium,Constructability,2023-03-28,2023-04-07,2023-04-14,2023-04-14,2023-04-16,Closed,Subcontractor,Engineer,0,1,No,0,0,No,0,0,No,4,5
RFI-00094,PRJ-002,RFI-0065,Architectural Code Compliance - Area D5,Architectural,High,Code Compliance,2022-06-28,2022-07-04,2022-07-19,2022-07-19,,Answered,Subcontractor,Architect,0,0,No,0,0,No,0,0,No,4,4
RFI-00095,PRJ-003,RFI-0001,General Design Clarification - Area B9,General,Medium,Design Clarification,2022-03-17,2022-03-29,2022-03-27,2022-03-27,,Answered,General Contractor,Construction Manager,0,0,No,0,0,No,0,0,No,2,5
RFI-00096,PRJ-003,RFI-0002,Electrical Coordination Conflict - Area E4,Electrical,Medium,Coordination Conflict,2023-01-17,2023-01-29,2023-01-20,2023-01-20,2023-01-21,Closed,General Contractor,Engineer,0,0,Yes,37000,52000,No,0,0,Yes,3,5
RFI-00097,PRJ-003,RFI-0003,Mechanical Design Clarification - Area C10,Mechanical,Critical,Design Clarification,2022-03-29,2022-04-01,2022-04-08,2022-04-08,2022-04-11,Closed,General Contractor,Engineer,0,0,No,0,0,No,0,0,No,4,4
RFI-00098,PRJ-003,RFI-0004,Mechanical Design Clarification - Area A11,Mechanical,Critical,Design Clarification,2022-08-13,2022-08-15,2022-08-28,2022-08-28,,Answered,General Contractor,Engineer,0,1,Yes,22000,27000,No,0,0,Yes,3,4
RFI-00099,PRJ-003,RFI-0005,Fire Protection Missing Information - Area A4,Fire Protection,Medium,Missing Information,2022-03-06,2022-03-17,2022-03-16,2022-03-16,,Answered,General Contractor,Engineer,0,0,No,0,0,No,0,0,No,2,5
RFI-00100,PRJ-003,RFI-0006,General Missing Information - Area A1,General,Medium,Missing Information,2022-06-13,2022-06-25,2022-06-25,2022-06-25,,Answered,Subcontractor,Construction Manager,0,1,No,0,0,No,0,0,No,4,5
RFI-00101,PRJ-003,RFI-0007,Electrical Coordination Conflict - Area A12,Electrical,Medium,Coordination Conflict,2023-05-04,2023-05-16,2023-05-25,2023-05-26,,Answered,Subcontractor,Engineer,1,0,No,0,0,No,0,0,No,1,3
RFI-00102,PRJ-003,RFI-0008,Specialty Systems Field Condition - Area A11,Specialty Systems,Low,Field Condition,2022-06-07,2022-06-20,2022-06-20,2022-06-20,2022-06-24,Closed,General Contractor,Design Manager,0,0,Yes,20000,19000,No,0,0,Yes,0,4
RFI-00103,PRJ-003,RFI-0009,Mechanical Design Clarification - Area D8,Mechanical,Low,Design Clarification,2023-09-09,2023-09-25,2023-10-03,2023-10-07,2023-10-10,Closed,Construction Manager,Engineer,1,1,No,0,0,No,0,0,No,1,3
RFI-00104,PRJ-003,RFI-0010,Civil Substitution Request - Area D11,Civil,Medium,Substitution Request,2023-10-03,2023-10-12,2023-10-13,,,Awaiting Owner,General Contractor,Engineer,0,0,Yes,82000,101000,No,0,0,No,2,5
RFI-00105,PRJ-003,RFI-0011,Architectural Coordination Conflict - Area E5,Architectural,Medium,Coordination Conflict,2023-05-08,2023-05-20,2023-05-12,2023-05-12,,Answered,Subcontractor,Architect,0,0,No,0,0,No,0,0,No,5,5
RFI-00106,PRJ-003,RFI-0012,Electrical Field Condition - Area C9,Electrical,Medium,Field Condition,2023-01-27,2023-02-07,2023-02-07,2023-02-08,2023-02-12,Closed,General Contractor,Engineer,1,0,No,0,0,No,0,0,No,0,4
RFI-00107,PRJ-003,RFI-0013,Architectural Design Clarification - Area C7,Architectural,High,Design Clarification,2022-12-28,2023-01-01,,,,In Review,Subcontractor,Architect,1,0,No,0,0,No,0,0,No,4,4
RFI-00108,PRJ-003,RFI-0014,Plumbing Constructability - Area A4,Plumbing,Medium,Constructability,2022-12-14,2022-12-24,2022-12-22,2022-12-23,2022-12-27,Closed,Subcontractor,Engineer,1,0,No,0,0,Yes,1,1,No,6,4
RFI-00109,PRJ-003,RFI-0015,Electrical Design Clarification - Area C4,Electrical,Low,Design Clarification,2023-08-05,2023-08-20,2023-08-12,2023-08-12,2023-08-14,Closed,General Contractor,Engineer,0,0,No,0,0,No,0,0,No,5,5
