Alert_Type,Severity,Project_ID,Item_ID,Project_Name,Condition,Current_Value,Threshold,Owner_Role,Required_Action
Red Project,Critical,PRJ-008,PRJ-008,Sunset Processing Plant,Workflow risk score 7 (Red),7,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
High/Critical Overdue RFI,Critical,PRJ-009,RFI-00320,,High RFI overdue by 1164 days,1164,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-011,RFI-00369,,High RFI overdue by 1176 days,1176,7,Construction Manager,Obtain the response or escalate the required decision immediately.
Field-Impact Overdue RFI,Critical,PRJ-012,RFI-00395,,Open field-impact RFI overdue by 298 days,298,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-012,RFI-00407,,Open field-impact RFI overdue by 155 days,155,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-012,RFI-00423,,Open field-impact RFI overdue by 5 days,5,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-012,RFI-00439,,Open field-impact RFI overdue by 9 days,9,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-012,RFI-00395,,Critical RFI overdue by 298 days,298,7,Engineer,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-012,PRJ-012,Canyon Corporate Center,Workflow risk score 7 (Red),7,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-013,RFI-00456,,Open field-impact RFI overdue by 856 days,856,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-013,RFI-00470,,Open field-impact RFI overdue by 904 days,904,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-013,RFI-00456,,Critical RFI overdue by 856 days,856,7,Construction Manager,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-013,RFI-00470,,High RFI overdue by 904 days,904,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-013,RFI-00483,,High RFI overdue by 1363 days,1363,7,Owner Representative,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-013,PRJ-013,Aspen Civic Complex 2,Workflow risk score 9 (Red),9,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-016,RFI-00580,,Open field-impact RFI overdue by 518 days,518,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High Pending Exposure,Critical,PRJ-016,PRJ-016,Evergreen Town Center,Pending exposure is 1.83% of project budget,1.834,1.5,Change Manager,Review pending items and obtain an approved exposure-reduction plan.
High/Critical Overdue RFI,Critical,PRJ-016,RFI-00564,,High RFI overdue by 1188 days,1188,7,Architect,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-016,PRJ-016,Evergreen Town Center,Workflow risk score 8 (Red),8,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-017,RFI-00596,,Open field-impact RFI overdue by 1022 days,1022,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-017,RFI-00606,,Open field-impact RFI overdue by 1362 days,1362,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-017,RFI-00608,,Open field-impact RFI overdue by 897 days,897,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-017,RFI-00628,,Open field-impact RFI overdue by 1063 days,1063,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-017,RFI-00608,,High RFI overdue by 897 days,897,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-017,RFI-00645,,High RFI overdue by 880 days,880,7,Engineer,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-017,PRJ-017,Mountain Gate Transit Center,Workflow risk score 8 (Red),8,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
High/Critical Overdue RFI,Critical,PRJ-018,RFI-00648,,Critical RFI overdue by 1307 days,1307,7,Architect,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-018,RFI-00655,,High RFI overdue by 1327 days,1327,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-018,RFI-00661,,High RFI overdue by 1371 days,1371,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-018,RFI-00688,,High RFI overdue by 1374 days,1374,7,Architect,Obtain the response or escalate the required decision immediately.
Field-Impact Overdue RFI,Critical,PRJ-019,RFI-00725,,Open field-impact RFI overdue by 1056 days,1056,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-019,RFI-00718,,Critical RFI overdue by 526 days,526,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-019,RFI-00721,,High RFI overdue by 1014 days,1014,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-019,RFI-00725,,Critical RFI overdue by 1056 days,1056,7,Owner Representative,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-019,RFI-00729,,High RFI overdue by 478 days,478,7,Engineer,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-019,PRJ-019,Pioneer Research Center,Workflow risk score 8 (Red),8,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-021,RFI-00804,,Open field-impact RFI overdue by 716 days,716,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-021,RFI-00804,,Critical RFI overdue by 716 days,716,7,Owner Representative,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-021,PRJ-021,Desert View Processing Plant,Workflow risk score 8 (Red),8,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-022,RFI-00816,,Open field-impact RFI overdue by 1255 days,1255,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-022,RFI-00828,,Open field-impact RFI overdue by 1261 days,1261,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-022,RFI-00840,,Open field-impact RFI overdue by 1258 days,1258,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-022,RFI-00856,,Open field-impact RFI overdue by 1245 days,1245,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-022,RFI-00856,,High RFI overdue by 1245 days,1245,7,Engineer,Obtain the response or escalate the required decision immediately.
Field-Impact Overdue RFI,Critical,PRJ-023,RFI-00885,,Open field-impact RFI overdue by 1132 days,1132,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-023,RFI-00894,,Open field-impact RFI overdue by 559 days,559,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-023,RFI-00885,,High RFI overdue by 1132 days,1132,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-023,RFI-00894,,High RFI overdue by 559 days,559,7,Architect,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-023,PRJ-023,Vista Retail Pavilion,Workflow risk score 6 (Red),6,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-025,RFI-00932,,Open field-impact RFI overdue by 773 days,773,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-025,RFI-00941,,Open field-impact RFI overdue by 815 days,815,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-025,RFI-00948,,Open field-impact RFI overdue by 706 days,706,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High Pending Exposure,Critical,PRJ-025,PRJ-025,Canyon Transit-Oriented Development,Pending exposure is 2.95% of project budget,2.95,1.5,Change Manager,Review pending items and obtain an approved exposure-reduction plan.
High/Critical Overdue RFI,Critical,PRJ-025,RFI-00943,,High RFI overdue by 838 days,838,7,Architect,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-025,PRJ-025,Canyon Transit-Oriented Development,Workflow risk score 9 (Red),9,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
High/Critical Overdue RFI,Critical,PRJ-026,RFI-00977,,High RFI overdue by 680 days,680,7,Engineer,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-026,PRJ-026,Blue Mesa Processing Plant,Workflow risk score 6 (Red),6,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-027,RFI-01004,,Open field-impact RFI overdue by 1343 days,1343,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-027,RFI-01030,,Open field-impact RFI overdue by 1271 days,1271,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High Pending Exposure,Critical,PRJ-027,PRJ-027,Red Rock Town Center 2,Pending exposure is 2.24% of project budget,2.242,1.5,Change Manager,Review pending items and obtain an approved exposure-reduction plan.
High/Critical Overdue RFI,Critical,PRJ-027,RFI-01030,,High RFI overdue by 1271 days,1271,7,Engineer,Obtain the response or escalate the required decision immediately.
Field-Impact Overdue RFI,Critical,PRJ-029,RFI-01075,,Open field-impact RFI overdue by 1246 days,1246,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-029,RFI-01119,,Open field-impact RFI overdue by 1300 days,1300,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-029,RFI-01126,,Open field-impact RFI overdue by 862 days,862,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High Pending Exposure,Critical,PRJ-029,PRJ-029,Frontier Urban Village 2,Pending exposure is 2.75% of project budget,2.752,1.5,Change Manager,Review pending items and obtain an approved exposure-reduction plan.
High/Critical Overdue RFI,Critical,PRJ-029,RFI-01099,,Critical RFI overdue by 1215 days,1215,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-029,RFI-01126,,High RFI overdue by 862 days,862,7,Owner Representative,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-029,RFI-01130,,High RFI overdue by 1370 days,1370,7,Architect,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-029,PRJ-029,Frontier Urban Village 2,Workflow risk score 6 (Red),6,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
High/Critical Overdue RFI,Critical,PRJ-030,RFI-01138,,High RFI overdue by 769 days,769,7,Engineer,Obtain the response or escalate the required decision immediately.
Field-Impact Overdue RFI,Critical,PRJ-031,RFI-01187,,Open field-impact RFI overdue by 598 days,598,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-031,RFI-01176,,Critical RFI overdue by 616 days,616,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-031,RFI-01187,,High RFI overdue by 598 days,598,7,Engineer,Obtain the response or escalate the required decision immediately.
High Pending Exposure,Critical,PRJ-032,PRJ-032,Blue Mesa Research Center,Pending exposure is 1.51% of project budget,1.507,1.5,Change Manager,Review pending items and obtain an approved exposure-reduction plan.
Field-Impact Overdue RFI,Critical,PRJ-035,RFI-01321,,Open field-impact RFI overdue by 950 days,950,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Red Project,Critical,PRJ-036,PRJ-036,Summit Medical Pavilion,Workflow risk score 6 (Red),6,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
High/Critical Overdue RFI,Critical,PRJ-037,RFI-01408,,High RFI overdue by 819 days,819,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-039,RFI-01484,,High RFI overdue by 348 days,348,7,Architect,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-039,PRJ-039,Silver Creek Urban Village 2,Workflow risk score 8 (Red),8,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-040,RFI-01492,,Open field-impact RFI overdue by 191 days,191,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-040,RFI-01500,,Open field-impact RFI overdue by 62 days,62,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-040,RFI-01535,,Open field-impact RFI overdue by 220 days,220,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High Pending Exposure,Critical,PRJ-041,PRJ-041,Riverbend Transit-Oriented Development,Pending exposure is 1.73% of project budget,1.73,1.5,Change Manager,Review pending items and obtain an approved exposure-reduction plan.
High/Critical Overdue RFI,Critical,PRJ-042,RFI-01586,,Critical RFI overdue by 884 days,884,7,Engineer,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-042,PRJ-042,Blue Mesa Retail Pavilion,Workflow risk score 7 (Red),7,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-043,RFI-01606,,Open field-impact RFI overdue by 250 days,250,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-043,RFI-01622,,Open field-impact RFI overdue by 279 days,279,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-043,RFI-01611,,High RFI overdue by 788 days,788,7,Architect,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-043,RFI-01622,,High RFI overdue by 279 days,279,7,Owner Representative,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-043,PRJ-043,Copper Ridge Apartments,Workflow risk score 6 (Red),6,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
High Pending Exposure,Critical,PRJ-045,PRJ-045,Pioneer Community College 2,Pending exposure is 3.17% of project budget,3.167,1.5,Change Manager,Review pending items and obtain an approved exposure-reduction plan.
High Pending Exposure,Critical,PRJ-046,PRJ-046,Riverbend Apartments,Pending exposure is 2.13% of project budget,2.135,1.5,Change Manager,Review pending items and obtain an approved exposure-reduction plan.
High/Critical Overdue RFI,Critical,PRJ-047,RFI-01742,,High RFI overdue by 874 days,874,7,Owner Representative,Obtain the response or escalate the required decision immediately.
Field-Impact Overdue RFI,Critical,PRJ-048,RFI-01767,,Open field-impact RFI overdue by 1118 days,1118,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-049,RFI-01843,,Open field-impact RFI overdue by 120 days,120,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-050,RFI-01863,,Open field-impact RFI overdue by 424 days,424,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-050,RFI-01863,,High RFI overdue by 424 days,424,7,Engineer,Obtain the response or escalate the required decision immediately.
Field-Impact Overdue RFI,Critical,PRJ-051,RFI-01883,,Open field-impact RFI overdue by 231 days,231,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-051,RFI-01884,,Open field-impact RFI overdue by 909 days,909,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-051,RFI-01902,,Open field-impact RFI overdue by 1073 days,1073,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-051,RFI-01910,,Open field-impact RFI overdue by 436 days,436,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-051,RFI-01938,,Open field-impact RFI overdue by 1246 days,1246,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-051,RFI-01884,,High RFI overdue by 909 days,909,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-051,RFI-01895,,High RFI overdue by 844 days,844,7,Design Manager,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-051,RFI-01920,,High RFI overdue by 550 days,550,7,Construction Manager,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-051,RFI-01938,,High RFI overdue by 1246 days,1246,7,Engineer,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-051,PRJ-051,Evergreen Apartments,Workflow risk score 9 (Red),9,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-054,RFI-02023,,Open field-impact RFI overdue by 1124 days,1124,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-057,RFI-02125,,Open field-impact RFI overdue by 836 days,836,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-057,RFI-02133,,Open field-impact RFI overdue by 1124 days,1124,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-057,RFI-02133,,High RFI overdue by 1124 days,1124,7,Construction Manager,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-057,RFI-02138,,High RFI overdue by 668 days,668,7,Engineer,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-057,PRJ-057,Summit Community College,Workflow risk score 6 (Red),6,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-059,RFI-02183,,Open field-impact RFI overdue by 365 days,365,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-059,RFI-02186,,Open field-impact RFI overdue by 421 days,421,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-059,RFI-02183,,High RFI overdue by 365 days,365,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-059,RFI-02186,,High RFI overdue by 421 days,421,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-059,RFI-02197,,High RFI overdue by 87 days,87,7,Design Manager,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-059,PRJ-059,Vista Transit-Oriented Development,Workflow risk score 6 (Red),6,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
High/Critical Overdue RFI,Critical,PRJ-064,RFI-02342,,High RFI overdue by 531 days,531,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-065,RFI-02379,,High RFI overdue by 652 days,652,7,Architect,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-065,RFI-02385,,High RFI overdue by 844 days,844,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-065,RFI-02395,,High RFI overdue by 754 days,754,7,Engineer,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-065,PRJ-065,Riverbend Marketplace,Workflow risk score 6 (Red),6,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-066,RFI-02419,,Open field-impact RFI overdue by 543 days,543,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-066,RFI-02412,,High RFI overdue by 1029 days,1029,7,Design Manager,Obtain the response or escalate the required decision immediately.
Field-Impact Overdue RFI,Critical,PRJ-067,RFI-02443,,Open field-impact RFI overdue by 963 days,963,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-067,RFI-02462,,Critical RFI overdue by 1297 days,1297,7,Engineer,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-067,PRJ-067,Riverbend Housing Community,Workflow risk score 7 (Red),7,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-068,RFI-02474,,Open field-impact RFI overdue by 1163 days,1163,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-068,RFI-02487,,High RFI overdue by 968 days,968,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-068,RFI-02501,,High RFI overdue by 896 days,896,7,Architect,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-068,PRJ-068,Copper Ridge Neighborhood,Workflow risk score 7 (Red),7,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
High Pending Exposure,Critical,PRJ-070,PRJ-070,Liberty Manufacturing Facility,Pending exposure is 1.69% of project budget,1.692,1.5,Change Manager,Review pending items and obtain an approved exposure-reduction plan.
High/Critical Overdue RFI,Critical,PRJ-071,RFI-02595,,High RFI overdue by 1290 days,1290,7,Design Manager,Obtain the response or escalate the required decision immediately.
Field-Impact Overdue RFI,Critical,PRJ-072,RFI-02628,,Open field-impact RFI overdue by 912 days,912,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-072,RFI-02646,,Open field-impact RFI overdue by 714 days,714,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High Pending Exposure,Critical,PRJ-072,PRJ-072,Evergreen Mixed-Use District,Pending exposure is 1.66% of project budget,1.662,1.5,Change Manager,Review pending items and obtain an approved exposure-reduction plan.
Red Project,Critical,PRJ-072,PRJ-072,Evergreen Mixed-Use District,Workflow risk score 7 (Red),7,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
High/Critical Overdue RFI,Critical,PRJ-074,RFI-02726,,High RFI overdue by 1052 days,1052,7,Architect,Obtain the response or escalate the required decision immediately.
Field-Impact Overdue RFI,Critical,PRJ-075,RFI-02731,,Open field-impact RFI overdue by 16 days,16,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-075,RFI-02747,,Open field-impact RFI overdue by 32 days,32,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-075,RFI-02779,,Open field-impact RFI overdue by 115 days,115,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-075,RFI-02732,,High RFI overdue by 509 days,509,7,Construction Manager,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-075,RFI-02779,,Critical RFI overdue by 115 days,115,7,Owner Representative,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-075,PRJ-075,Summit Urban Village,Workflow risk score 9 (Red),9,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-076,RFI-02784,,Open field-impact RFI overdue by 1368 days,1368,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
