Link_ID,Project_ID,RFI_ID,Change_Order_ID,Link_Type,Link_Confidence,Relationship_Date,Relationship_Notes_Category
LNK-00037,PRJ-007,RFI-00256,CO-00076,Supporting Documentation,High,2025-04-01,Field condition documented by RFI
LNK-00038,PRJ-007,RFI-00238,CO-00078,Supporting Documentation,Medium,2025-01-08,Pricing support
LNK-00039,PRJ-007,RFI-00223,CO-00080,Supporting Documentation,High,2025-02-02,Field condition documented by RFI
LNK-00040,PRJ-008,RFI-00259,CO-00085,Supporting Documentation,High,2022-06-28,Related coordination issue
LNK-00041,PRJ-008,RFI-00265,CO-00087,Supporting Documentation,Medium,2023-06-28,Field condition documented by RFI
LNK-00042,PRJ-008,RFI-00262,CO-00088,Related Scope,Medium,2023-06-09,Pricing support
LNK-00043,PRJ-008,RFI-00264,CO-00089,Direct Cause,High,2023-06-12,Design clarification led to scope change
LNK-00044,PRJ-008,RFI-00277,CO-00090,Related Scope,Medium,2022-09-20,Pricing support
LNK-00045,PRJ-008,RFI-00284,CO-00092,Supporting Documentation,Medium,2023-09-09,Schedule support
LNK-00046,PRJ-008,RFI-00290,CO-00093,Related Scope,High,2022-05-23,Design clarification led to scope change
LNK-00047,PRJ-008,RFI-00274,CO-00097,Supporting Documentation,Medium,2024-05-17,Design clarification led to scope change
LNK-00048,PRJ-008,RFI-00281,CO-00099,Supporting Documentation,Medium,2022-10-08,Design clarification led to scope change
LNK-00049,PRJ-008,RFI-00277,CO-00100,Supporting Documentation,Medium,2022-09-23,Pricing support
LNK-00050,PRJ-008,RFI-00282,CO-00101,Supporting Documentation,Medium,2023-11-30,Design clarification led to scope change
LNK-00051,PRJ-008,RFI-00281,CO-00103,Supporting Documentation,Medium,2022-12-19,Related coordination issue
LNK-00052,PRJ-008,RFI-00262,CO-00104,Direct Cause,High,2023-07-07,Field condition documented by RFI
LNK-00053,PRJ-009,RFI-00311,CO-00105,Related Scope,Medium,2023-08-20,Pricing support
LNK-00054,PRJ-009,RFI-00312,CO-00106,Potential Relationship,Medium,2022-06-21,Schedule support
LNK-00055,PRJ-009,RFI-00322,CO-00109,Direct Cause,Medium,2023-09-14,Field condition documented by RFI
LNK-00056,PRJ-010,RFI-00333,CO-00116,Supporting Documentation,Low,2022-09-10,Field condition documented by RFI
LNK-00057,PRJ-010,RFI-00344,CO-00117,Related Scope,Medium,2022-03-31,Pricing support
LNK-00058,PRJ-010,RFI-00346,CO-00119,Related Scope,High,2023-11-18,Design clarification led to scope change
LNK-00059,PRJ-010,RFI-00348,CO-00120,Related Scope,Low,2023-12-26,Schedule support
LNK-00060,PRJ-011,RFI-00367,CO-00124,Direct Cause,High,2022-10-20,Schedule support
LNK-00061,PRJ-011,RFI-00358,CO-00125,Related Scope,Medium,2022-09-15,Schedule support
LNK-00062,PRJ-011,RFI-00380,CO-00132,Direct Cause,High,2022-02-25,Related coordination issue
LNK-00063,PRJ-011,RFI-00360,CO-00135,Direct Cause,Medium,2023-05-22,Pricing support
LNK-00064,PRJ-012,RFI-00415,CO-00139,Direct Cause,High,2025-11-21,Pricing support
LNK-00065,PRJ-012,RFI-00434,CO-00146,Supporting Documentation,Medium,2024-08-02,Field condition documented by RFI
LNK-00066,PRJ-012,RFI-00402,CO-00147,Direct Cause,Medium,2024-10-24,Field condition documented by RFI
LNK-00067,PRJ-012,RFI-00429,CO-00149,Direct Cause,Medium,2025-01-09,Design clarification led to scope change
LNK-00068,PRJ-013,RFI-00463,CO-00152,Direct Cause,Medium,2022-03-25,Schedule support
LNK-00069,PRJ-013,RFI-00471,CO-00153,Related Scope,Medium,2022-11-30,Pricing support
LNK-00070,PRJ-013,RFI-00457,CO-00158,Supporting Documentation,Medium,2023-06-13,Pricing support
LNK-00071,PRJ-013,RFI-00460,CO-00159,Direct Cause,Medium,2022-09-29,Design clarification led to scope change
LNK-00072,PRJ-013,RFI-00484,CO-00160,Direct Cause,High,2022-05-23,Design clarification led to scope change
LNK-00073,PRJ-013,RFI-00477,CO-00161,Supporting Documentation,High,2024-01-08,Related coordination issue
LNK-00074,PRJ-013,RFI-00447,CO-00162,Direct Cause,High,2022-05-24,Pricing support
LNK-00075,PRJ-014,RFI-00493,CO-00168,Supporting Documentation,Medium,2024-06-13,Field condition documented by RFI
LNK-00076,PRJ-014,RFI-00512,CO-00169,Supporting Documentation,Medium,2023-10-29,Field condition documented by RFI
LNK-00077,PRJ-014,RFI-00492,CO-00170,Direct Cause,High,2024-10-01,Design clarification led to scope change
LNK-00078,PRJ-014,RFI-00512,CO-00171,Direct Cause,High,2023-10-29,Design clarification led to scope change
LNK-00079,PRJ-015,RFI-00528,CO-00173,Related Scope,High,2025-10-01,Field condition documented by RFI
LNK-00080,PRJ-015,RFI-00534,CO-00174,Supporting Documentation,High,2024-06-09,Design clarification led to scope change
LNK-00081,PRJ-015,RFI-00535,CO-00175,Potential Relationship,Medium,2024-12-05,Pricing support
LNK-00082,PRJ-015,RFI-00526,CO-00177,Direct Cause,High,2024-04-18,Pricing support
LNK-00083,PRJ-015,RFI-00540,CO-00179,Supporting Documentation,Medium,2024-10-11,Design clarification led to scope change
LNK-00084,PRJ-016,RFI-00582,CO-00183,Direct Cause,Medium,2023-12-07,Design clarification led to scope change
LNK-00085,PRJ-016,RFI-00544,CO-00184,Direct Cause,High,2023-06-13,Related coordination issue
LNK-00086,PRJ-016,RFI-00546,CO-00186,Related Scope,High,2024-02-22,Schedule support
LNK-00087,PRJ-016,RFI-00544,CO-00192,Related Scope,Medium,2023-05-20,Field condition documented by RFI
LNK-00088,PRJ-016,RFI-00554,CO-00195,Related Scope,Medium,2024-06-26,Schedule support
LNK-00089,PRJ-016,RFI-00576,CO-00196,Supporting Documentation,Medium,2023-01-30,Field condition documented by RFI
LNK-00090,PRJ-016,RFI-00550,CO-00198,Supporting Documentation,High,2022-03-01,Field condition documented by RFI
LNK-00091,PRJ-017,RFI-00630,CO-00200,Supporting Documentation,High,2023-03-25,Field condition documented by RFI
LNK-00092,PRJ-017,RFI-00636,CO-00201,Direct Cause,High,2022-06-26,Schedule support
LNK-00093,PRJ-017,RFI-00596,CO-00203,Related Scope,High,2023-06-04,Schedule support
LNK-00094,PRJ-017,RFI-00610,CO-00204,Supporting Documentation,Medium,2023-06-13,Pricing support
LNK-00095,PRJ-017,RFI-00588,CO-00205,Related Scope,Low,2023-01-25,Design clarification led to scope change
LNK-00096,PRJ-017,RFI-00635,CO-00207,Related Scope,Medium,2023-07-31,Related coordination issue
LNK-00097,PRJ-017,RFI-00639,CO-00212,Related Scope,Medium,2022-07-01,Field condition documented by RFI
LNK-00098,PRJ-017,RFI-00590,CO-00215,Supporting Documentation,Medium,2023-08-26,Schedule support
LNK-00099,PRJ-017,RFI-00625,CO-00216,Direct Cause,Medium,2023-12-05,Related coordination issue
LNK-00100,PRJ-018,RFI-00676,CO-00220,Direct Cause,Low,2022-01-19,Design clarification led to scope change
LNK-00101,PRJ-018,RFI-00675,CO-00222,Supporting Documentation,Low,2022-02-13,Design clarification led to scope change
LNK-00102,PRJ-018,RFI-00674,CO-00224,Direct Cause,High,2022-04-07,Pricing support
LNK-00103,PRJ-019,RFI-00721,CO-00226,Direct Cause,Medium,2023-03-16,Field condition documented by RFI
LNK-00104,PRJ-019,RFI-00738,CO-00227,Direct Cause,High,2024-07-03,Design clarification led to scope change
LNK-00105,PRJ-019,RFI-00733,CO-00228,Direct Cause,High,2022-11-07,Related coordination issue
LNK-00106,PRJ-019,RFI-00733,CO-00230,Direct Cause,Medium,2022-10-24,Pricing support
LNK-00107,PRJ-019,RFI-00704,CO-00231,Direct Cause,High,2023-02-07,Schedule support
LNK-00108,PRJ-019,RFI-00717,CO-00236,Supporting Documentation,High,2023-08-27,Design clarification led to scope change
LNK-00109,PRJ-019,RFI-00701,CO-00238,Direct Cause,Low,2024-05-18,Pricing support
LNK-00110,PRJ-019,RFI-00730,CO-00241,Supporting Documentation,Medium,2023-02-07,Design clarification led to scope change
LNK-00111,PRJ-019,RFI-00706,CO-00247,Supporting Documentation,Medium,2023-10-27,Related coordination issue
LNK-00112,PRJ-019,RFI-00698,CO-00248,Supporting Documentation,Medium,2024-10-06,Field condition documented by RFI
LNK-00113,PRJ-020,RFI-00756,CO-00249,Potential Relationship,High,2023-03-18,Schedule support
LNK-00114,PRJ-020,RFI-00754,CO-00252,Direct Cause,High,2023-08-22,Design clarification led to scope change
LNK-00115,PRJ-020,RFI-00773,CO-00253,Direct Cause,Medium,2024-01-30,Design clarification led to scope change
LNK-00116,PRJ-020,RFI-00773,CO-00254,Related Scope,Medium,2023-12-02,Pricing support
LNK-00117,PRJ-020,RFI-00760,CO-00255,Related Scope,Low,2024-10-11,Field condition documented by RFI
LNK-00118,PRJ-020,RFI-00772,CO-00260,Supporting Documentation,Medium,2024-11-26,Related coordination issue
LNK-00119,PRJ-020,RFI-00759,CO-00261,Supporting Documentation,High,2024-10-15,Schedule support
LNK-00120,PRJ-021,RFI-00787,CO-00266,Direct Cause,Medium,2022-06-25,Field condition documented by RFI
LNK-00121,PRJ-021,RFI-00810,CO-00267,Supporting Documentation,High,2023-07-18,Design clarification led to scope change
LNK-00122,PRJ-021,RFI-00810,CO-00272,Potential Relationship,Low,2023-08-04,Design clarification led to scope change
LNK-00123,PRJ-021,RFI-00781,CO-00273,Direct Cause,High,2022-05-21,Design clarification led to scope change
LNK-00124,PRJ-021,RFI-00808,CO-00274,Supporting Documentation,High,2023-08-27,Design clarification led to scope change
LNK-00125,PRJ-021,RFI-00801,CO-00275,Supporting Documentation,Medium,2022-11-14,Field condition documented by RFI
LNK-00126,PRJ-021,RFI-00779,CO-00276,Supporting Documentation,Medium,2022-08-29,Schedule support
LNK-00127,PRJ-022,RFI-00821,CO-00278,Direct Cause,Medium,2022-01-15,Field condition documented by RFI
LNK-00128,PRJ-022,RFI-00842,CO-00281,Supporting Documentation,Medium,2022-01-29,Field condition documented by RFI
LNK-00129,PRJ-022,RFI-00844,CO-00285,Related Scope,Medium,2022-01-13,Related coordination issue
LNK-00130,PRJ-022,RFI-00844,CO-00286,Direct Cause,Low,2022-01-13,Pricing support
LNK-00131,PRJ-022,RFI-00853,CO-00287,Related Scope,Medium,2022-04-18,Field condition documented by RFI
LNK-00132,PRJ-023,RFI-00866,CO-00288,Supporting Documentation,Medium,2024-05-30,Pricing support
LNK-00133,PRJ-023,RFI-00861,CO-00289,Supporting Documentation,Medium,2024-07-22,Field condition documented by RFI
LNK-00134,PRJ-023,RFI-00868,CO-00292,Related Scope,High,2024-05-17,Field condition documented by RFI
LNK-00135,PRJ-023,RFI-00859,CO-00296,Direct Cause,Medium,2023-07-26,Related coordination issue
LNK-00136,PRJ-023,RFI-00869,CO-00297,Direct Cause,Medium,2024-10-12,Pricing support
LNK-00137,PRJ-023,RFI-00883,CO-00299,Supporting Documentation,Medium,2024-04-01,Schedule support
LNK-00138,PRJ-023,RFI-00891,CO-00300,Supporting Documentation,Medium,2023-09-30,Field condition documented by RFI
LNK-00139,PRJ-023,RFI-00861,CO-00302,Direct Cause,High,2024-08-10,Related coordination issue
LNK-00140,PRJ-024,RFI-00921,CO-00304,Supporting Documentation,High,2024-05-27,Pricing support
LNK-00141,PRJ-024,RFI-00898,CO-00305,Related Scope,Medium,2022-10-15,Related coordination issue
LNK-00142,PRJ-024,RFI-00914,CO-00310,Supporting Documentation,Medium,2023-08-20,Related coordination issue
LNK-00143,PRJ-024,RFI-00925,CO-00312,Supporting Documentation,Low,2022-12-22,Field condition documented by RFI
LNK-00144,PRJ-024,RFI-00918,CO-00317,Related Scope,High,2023-06-17,Design clarification led to scope change
LNK-00145,PRJ-024,RFI-00898,CO-00318,Related Scope,Medium,2022-10-15,Design clarification led to scope change
LNK-00146,PRJ-025,RFI-00950,CO-00320,Supporting Documentation,Medium,2024-05-25,Related coordination issue
LNK-00147,PRJ-025,RFI-00971,CO-00323,Supporting Documentation,Medium,2024-05-03,Related coordination issue
LNK-00148,PRJ-025,RFI-00935,CO-00324,Direct Cause,Medium,2024-05-22,Field condition documented by RFI
LNK-00149,PRJ-025,RFI-00964,CO-00325,Related Scope,Medium,2024-05-10,Pricing support
LNK-00150,PRJ-025,RFI-00932,CO-00333,Direct Cause,Medium,2023-12-30,Field condition documented by RFI
LNK-00151,PRJ-025,RFI-00937,CO-00334,Direct Cause,Medium,2024-03-14,Design clarification led to scope change
LNK-00152,PRJ-026,RFI-00976,CO-00338,Supporting Documentation,Medium,2023-11-20,Pricing support
LNK-00153,PRJ-026,RFI-00979,CO-00339,Potential Relationship,Medium,2024-06-12,Pricing support
LNK-00154,PRJ-026,RFI-00977,CO-00340,Supporting Documentation,High,2024-03-14,Related coordination issue
LNK-00155,PRJ-026,RFI-00984,CO-00341,Direct Cause,Low,2025-05-08,Design clarification led to scope change
LNK-00156,PRJ-027,RFI-00995,CO-00342,Related Scope,High,2022-02-17,Field condition documented by RFI
LNK-00157,PRJ-027,RFI-01020,CO-00346,Direct Cause,Medium,2022-03-22,Design clarification led to scope change
LNK-00158,PRJ-027,RFI-01032,CO-00349,Supporting Documentation,Medium,2022-05-15,Related coordination issue
LNK-00159,PRJ-027,RFI-00991,CO-00354,Direct Cause,Medium,2022-04-19,Design clarification led to scope change
LNK-00160,PRJ-027,RFI-01044,CO-00355,Related Scope,Medium,2022-03-08,Design clarification led to scope change
LNK-00161,PRJ-027,RFI-01020,CO-00356,Supporting Documentation,Medium,2022-01-13,Field condition documented by RFI
LNK-00162,PRJ-027,RFI-01020,CO-00358,Related Scope,Medium,2022-01-13,Schedule support
LNK-00163,PRJ-028,RFI-01053,CO-00361,Supporting Documentation,Medium,2022-07-04,Related coordination issue
LNK-00164,PRJ-028,RFI-01048,CO-00362,Direct Cause,Medium,2023-02-14,Field condition documented by RFI
LNK-00165,PRJ-028,RFI-01063,CO-00368,Supporting Documentation,Medium,2022-02-05,Related coordination issue
LNK-00166,PRJ-028,RFI-01063,CO-00370,Direct Cause,Medium,2022-05-21,Field condition documented by RFI
LNK-00167,PRJ-029,RFI-01094,CO-00373,Supporting Documentation,High,2023-07-09,Related coordination issue
LNK-00168,PRJ-029,RFI-01082,CO-00377,Supporting Documentation,Low,2022-12-16,Design clarification led to scope change
LNK-00169,PRJ-029,RFI-01115,CO-00378,Direct Cause,Medium,2023-01-22,Design clarification led to scope change
LNK-00170,PRJ-029,RFI-01128,CO-00379,Direct Cause,High,2023-05-08,Related coordination issue
LNK-00171,PRJ-030,RFI-01166,CO-00388,Potential Relationship,Medium,2023-07-17,Field condition documented by RFI
LNK-00172,PRJ-030,RFI-01136,CO-00390,Related Scope,Medium,2022-01-07,Design clarification led to scope change
LNK-00173,PRJ-030,RFI-01149,CO-00391,Related Scope,Medium,2022-06-07,Design clarification led to scope change
LNK-00174,PRJ-030,RFI-01164,CO-00393,Direct Cause,High,2023-06-17,Pricing support
LNK-00175,PRJ-031,RFI-01187,CO-00394,Supporting Documentation,Low,2024-06-22,Related coordination issue
LNK-00176,PRJ-031,RFI-01182,CO-00398,Direct Cause,High,2024-03-05,Pricing support
LNK-00177,PRJ-031,RFI-01196,CO-00399,Related Scope,Medium,2024-01-02,Field condition documented by RFI
LNK-00178,PRJ-031,RFI-01177,CO-00402,Direct Cause,Medium,2024-07-15,Design clarification led to scope change
LNK-00179,PRJ-032,RFI-01213,CO-00407,Supporting Documentation,High,2023-09-27,Field condition documented by RFI
LNK-00180,PRJ-032,RFI-01228,CO-00408,Supporting Documentation,High,2023-06-12,Design clarification led to scope change
LNK-00181,PRJ-032,RFI-01212,CO-00409,Direct Cause,Medium,2023-06-08,Design clarification led to scope change
LNK-00182,PRJ-032,RFI-01223,CO-00411,Supporting Documentation,Medium,2024-02-18,Pricing support
LNK-00183,PRJ-032,RFI-01228,CO-00413,Supporting Documentation,Medium,2023-02-23,Design clarification led to scope change
LNK-00184,PRJ-033,RFI-01251,CO-00419,Related Scope,High,2023-10-25,Pricing support
LNK-00185,PRJ-033,RFI-01240,CO-00422,Supporting Documentation,Medium,2023-09-10,Schedule support
LNK-00186,PRJ-033,RFI-01255,CO-00424,Direct Cause,High,2022-12-25,Schedule support
LNK-00187,PRJ-033,RFI-01244,CO-00427,Related Scope,Medium,2023-02-21,Schedule support
LNK-00188,PRJ-034,RFI-01274,CO-00430,Direct Cause,Medium,2025-08-29,Related coordination issue
LNK-00189,PRJ-034,RFI-01265,CO-00432,Related Scope,High,2024-12-15,Pricing support
LNK-00190,PRJ-034,RFI-01265,CO-00437,Direct Cause,Medium,2024-10-08,Pricing support
LNK-00191,PRJ-034,RFI-01278,CO-00440,Supporting Documentation,Medium,2025-02-11,Design clarification led to scope change
LNK-00192,PRJ-035,RFI-01315,CO-00447,Related Scope,Medium,2023-05-07,Design clarification led to scope change
LNK-00193,PRJ-035,RFI-01294,CO-00448,Related Scope,Medium,2024-08-27,Field condition documented by RFI
LNK-00194,PRJ-036,RFI-01373,CO-00454,Related Scope,High,2024-10-23,Design clarification led to scope change
LNK-00195,PRJ-036,RFI-01376,CO-00455,Direct Cause,Medium,2025-10-29,Related coordination issue
LNK-00196,PRJ-036,RFI-01360,CO-00456,Direct Cause,High,2024-07-24,Schedule support
LNK-00197,PRJ-036,RFI-01368,CO-00457,Related Scope,Medium,2024-10-01,Schedule support
LNK-00198,PRJ-036,RFI-01343,CO-00458,Related Scope,Medium,2025-11-23,Related coordination issue
LNK-00199,PRJ-036,RFI-01380,CO-00461,Related Scope,Medium,2024-07-12,Design clarification led to scope change
LNK-00200,PRJ-037,RFI-01407,CO-00464,Direct Cause,Medium,2024-04-01,Pricing support
LNK-00201,PRJ-037,RFI-99999,CO-00467,Supporting Documentation,Medium,2024-11-25,Pricing support
LNK-00202,PRJ-037,RFI-01414,CO-00470,Related Scope,High,2024-08-12,Pricing support
LNK-00203,PRJ-037,RFI-01398,CO-00471,Supporting Documentation,Medium,2024-12-08,Field condition documented by RFI
LNK-00204,PRJ-037,RFI-01409,CO-00472,Direct Cause,High,2023-10-19,Pricing support
LNK-00205,PRJ-037,RFI-01392,CO-00474,Supporting Documentation,Medium,2024-01-30,Pricing support
LNK-00206,PRJ-037,RFI-01402,CO-00475,Direct Cause,Medium,2024-12-28,Field condition documented by RFI
LNK-00207,PRJ-037,RFI-01410,CO-00476,Direct Cause,Medium,2025-09-27,Design clarification led to scope change
LNK-00208,PRJ-038,RFI-01432,CO-00477,Supporting Documentation,Medium,2024-05-09,Design clarification led to scope change
LNK-00209,PRJ-038,RFI-01425,CO-00479,Supporting Documentation,Medium,2024-05-15,Pricing support
LNK-00210,PRJ-038,RFI-01435,CO-00482,Direct Cause,Medium,2025-02-19,Design clarification led to scope change
LNK-00211,PRJ-038,RFI-01426,CO-00485,Supporting Documentation,Low,2025-05-20,Related coordination issue
LNK-00212,PRJ-039,RFI-01468,CO-00487,Direct Cause,Medium,2025-05-30,Design clarification led to scope change
LNK-00213,PRJ-039,RFI-01465,CO-00488,Direct Cause,High,2024-10-26,Related coordination issue
LNK-00214,PRJ-039,RFI-01465,CO-00489,Supporting Documentation,High,2024-06-10,Design clarification led to scope change
LNK-00215,PRJ-039,RFI-01473,CO-00492,Supporting Documentation,Medium,2025-07-06,Pricing support
LNK-00216,PRJ-039,RFI-01484,CO-00496,Supporting Documentation,Medium,2025-01-26,Design clarification led to scope change
LNK-00217,PRJ-040,RFI-01487,CO-00497,Supporting Documentation,Medium,2024-07-13,Related coordination issue
LNK-00218,PRJ-040,RFI-01502,CO-00498,Direct Cause,Medium,2025-05-26,Design clarification led to scope change
LNK-00219,PRJ-040,RFI-01527,CO-00499,Related Scope,Medium,2025-08-06,Pricing support
LNK-00220,PRJ-040,RFI-01490,CO-00507,Related Scope,Low,2024-02-09,Design clarification led to scope change
LNK-00221,PRJ-040,RFI-01532,CO-00508,Related Scope,Medium,2024-10-07,Related coordination issue
LNK-00222,PRJ-040,RFI-01516,CO-00509,Supporting Documentation,Medium,2025-11-01,Design clarification led to scope change
LNK-00223,PRJ-041,RFI-01541,CO-00510,Direct Cause,Low,2022-04-05,Field condition documented by RFI
LNK-00224,PRJ-041,RFI-01560,CO-00512,Direct Cause,High,2022-09-24,Related coordination issue
LNK-00225,PRJ-041,RFI-01562,CO-00513,Direct Cause,Medium,2022-12-14,Related coordination issue
LNK-00226,PRJ-041,RFI-01536,CO-00514,Direct Cause,Low,2022-07-12,Design clarification led to scope change
LNK-00227,PRJ-041,RFI-01560,CO-00515,Supporting Documentation,Medium,2022-05-20,Pricing support
LNK-00228,PRJ-041,RFI-01558,CO-00519,Supporting Documentation,Medium,2022-08-16,Field condition documented by RFI
LNK-00229,PRJ-041,RFI-01541,CO-00520,Direct Cause,Medium,2022-03-13,Pricing support
LNK-00230,PRJ-041,RFI-01541,CO-00521,Supporting Documentation,High,2022-02-28,Design clarification led to scope change
LNK-00231,PRJ-042,RFI-01588,CO-00524,Direct Cause,Medium,2022-11-26,Pricing support
LNK-00232,PRJ-042,RFI-01578,CO-00525,Direct Cause,Low,2023-10-04,Field condition documented by RFI
LNK-00233,PRJ-042,RFI-01577,CO-00530,Direct Cause,Medium,2023-08-15,Pricing support
LNK-00234,PRJ-042,RFI-01585,CO-00531,Direct Cause,Medium,2023-05-24,Related coordination issue
LNK-00235,PRJ-043,RFI-01626,CO-00533,Supporting Documentation,Low,2024-01-08,Related coordination issue
LNK-00236,PRJ-043,RFI-01614,CO-00535,Supporting Documentation,High,2024-09-02,Field condition documented by RFI
LNK-00237,PRJ-043,RFI-01611,CO-00540,Direct Cause,Low,2023-11-21,Pricing support
LNK-00238,PRJ-043,RFI-01614,CO-00549,Direct Cause,High,2024-11-11,Design clarification led to scope change
LNK-00239,PRJ-043,RFI-01596,CO-00551,Supporting Documentation,Medium,2025-02-28,Related coordination issue
LNK-00240,PRJ-044,RFI-01651,CO-00553,Direct Cause,High,2025-04-03,Schedule support
LNK-00241,PRJ-044,RFI-01657,CO-00556,Direct Cause,High,2023-01-30,Design clarification led to scope change
LNK-00242,PRJ-044,RFI-01644,CO-00558,Direct Cause,High,2024-09-17,Schedule support
LNK-00243,PRJ-045,RFI-01661,CO-00562,Direct Cause,High,2025-04-04,Design clarification led to scope change
LNK-00244,PRJ-045,RFI-01665,CO-00566,Supporting Documentation,High,2024-06-29,Related coordination issue
LNK-00245,PRJ-045,RFI-01688,CO-00567,Supporting Documentation,Medium,2025-06-30,Field condition documented by RFI
LNK-00246,PRJ-045,RFI-01664,CO-00568,Direct Cause,High,2024-06-15,Design clarification led to scope change
LNK-00247,PRJ-046,RFI-01729,CO-00573,Related Scope,Low,2024-11-05,Pricing support
LNK-00248,PRJ-046,RFI-01731,CO-00577,Supporting Documentation,High,2023-04-18,Field condition documented by RFI
LNK-00249,PRJ-046,RFI-01731,CO-00579,Direct Cause,Medium,2023-03-20,Field condition documented by RFI
LNK-00250,PRJ-046,RFI-01741,CO-00582,Supporting Documentation,Medium,2023-05-20,Design clarification led to scope change
LNK-00251,PRJ-046,RFI-01738,CO-00583,Direct Cause,Medium,2024-03-08,Related coordination issue
LNK-00252,PRJ-047,RFI-01759,CO-00585,Supporting Documentation,Low,2023-09-13,Related coordination issue
LNK-00253,PRJ-047,RFI-01754,CO-00587,Related Scope,Medium,2023-12-19,Field condition documented by RFI
LNK-00254,PRJ-047,RFI-01754,CO-00588,Supporting Documentation,High,2023-09-10,Pricing support
LNK-00255,PRJ-047,RFI-01765,CO-00592,Direct Cause,Low,2023-07-03,Related coordination issue
LNK-00256,PRJ-047,RFI-01748,CO-00594,Supporting Documentation,Medium,2024-05-02,Design clarification led to scope change
LNK-00257,PRJ-048,RFI-01782,CO-00596,Supporting Documentation,Medium,2023-11-30,Field condition documented by RFI
LNK-00258,PRJ-048,RFI-01816,CO-00598,Supporting Documentation,High,2024-09-11,Field condition documented by RFI
