Change_Order_ID,Project_ID,Change_Number,Change_Title,Change_Category,Initiating_Party,Discipline,Change_Type,Originating_Source,Identified_Date,Submitted_Date,Required_Decision_Date,First_Decision_Date,Approved_Date,Closed_Date,Change_Status,Submitted_Value,Negotiated_Value,Approved_Value,Requested_Schedule_Days,Approved_Schedule_Days,Revision_Count,Pricing_Status,Authorization_Type,Forecast_Incorporated_Date,Cost_Code_Group
CO-00018,PRJ-002,CO-002,Quantity Variation - General Area B5,Quantity Variation,Architect,General,Additive,RFI,2023-04-04,2023-04-07,2023-04-27,2023-04-26,2023-05-12,2023-05-22,Approved,1066000,1061000,1079000,0,0,0,Final,Executed Change Order,2023-05-18,Specialties
CO-00019,PRJ-002,CO-003,Quantity Variation - Mechanical Area D3,Quantity Variation,Engineer,Mechanical,Additive,Owner Request,2023-04-25,2023-05-02,2023-05-22,2023-05-18,2023-05-25,2023-05-30,Approved,208000,205000,208000,0,0,1,Final,Construction Change Directive,2023-05-29,General Conditions
CO-00020,PRJ-002,CO-004,Design Error or Omission - Structural Area A2,Design Error or Omission,General Contractor,Structural,Additive,RFI,2023-07-30,2023-08-04,2023-08-24,2023-08-17,2023-09-02,2023-09-11,Approved,619000,616000,596000,5,3,1,Final,Owner Authorization,2023-09-05,General Conditions
CO-00021,PRJ-002,CO-005,Value Engineering - Plumbing Area D10,Value Engineering,General Contractor,Plumbing,Additive,Schedule Recovery,2022-09-14,2022-09-19,2022-10-09,2022-10-01,2022-10-12,2022-10-17,Approved,310000,284000,283000,0,0,1,Final,Owner Authorization,2022-10-15,Concrete
CO-00022,PRJ-002,CO-006,Value Engineering - Specialty Systems Area B7,Value Engineering,Construction Manager,Specialty Systems,Zero-Cost,Design Revision,2023-10-09,2023-10-11,2023-10-31,2023-10-23,2023-11-03,2023-11-05,Approved,0,0,0,3,2,2,Final,Construction Change Directive,,Interiors
CO-00023,PRJ-002,CO-007,Owner-Directed Change - Electrical Area D10,Owner-Directed Change,General Contractor,Electrical,Additive,Owner Request,2023-02-16,2023-02-26,2023-03-18,2023-03-14,,2023-03-23,Withdrawn,584000,,0,9,0,0,ROM,None,,Specialties
CO-00024,PRJ-002,CO-008,Code or Regulatory Requirement - Mechanical Area B2,Code or Regulatory Requirement,Engineer,Mechanical,Additive,RFI,2022-06-29,2022-07-11,2022-07-31,2022-07-24,2022-08-04,2022-08-06,Approved,1358000,1214000,1196000,0,0,0,Final,Executed Change Order,2022-08-14,Metals
CO-00025,PRJ-002,CO-009,Unforeseen Condition - Fire Protection Area D10,Unforeseen Condition,Subcontractor,Fire Protection,Additive,RFI,2023-11-02,2023-11-06,2023-11-26,2023-11-21,2023-12-05,2023-12-10,Approved,836000,864000,838000,0,0,2,Final,Construction Change Directive,,MEP
CO-00026,PRJ-002,CO-010,Quantity Variation - Architectural Area D1,Quantity Variation,Construction Manager,Architectural,Additive,RFI,2023-03-07,2023-03-12,2023-04-01,2023-03-18,2023-03-27,2023-03-30,Approved,935000,866000,875000,17,10,1,Final,Executed Change Order,2023-04-02,General Conditions
CO-00027,PRJ-002,CO-011,Substitution - Controls Area A9,Substitution,General Contractor,Controls,Additive,Design Revision,2022-08-04,2022-08-10,2022-08-30,2022-08-21,,,Pending,144000,,,0,0,0,Negotiating,None,,MEP
CO-00028,PRJ-002,CO-012,Design Error or Omission - Electrical Area B4,Design Error or Omission,Engineer,Electrical,Additive,RFI,2023-10-14,2023-10-18,2023-11-07,2023-10-29,,2023-11-23,Rejected,224000,130000,0,0,0,1,Final,None,,MEP
CO-00029,PRJ-002,CO-013,Code or Regulatory Requirement - Civil Area A6,Code or Regulatory Requirement,Engineer,Civil,Additive,Field Condition,2023-04-21,2023-04-27,2023-05-17,2023-05-09,,2023-05-25,Withdrawn,336000,,0,0,0,1,Pricing in Progress,None,,Interiors
CO-00030,PRJ-002,CO-014,Owner-Directed Change - Architectural Area D4,Owner-Directed Change,Owner,Architectural,Additive,Owner Request,2022-03-10,2022-03-21,2022-04-10,2022-04-06,2022-04-26,2022-04-30,Approved,237000,246000,241000,0,0,2,Final,Owner Authorization,,MEP
CO-00031,PRJ-002,CO-015,Unforeseen Condition - Structural Area C6,Unforeseen Condition,Owner,Structural,Zero-Cost,Field Condition,2023-10-31,2023-11-09,2023-11-29,2023-11-30,2023-12-18,2023-12-24,Approved,0,0,0,0,0,0,Final,Field Directive,2023-12-19,Envelope
CO-00032,PRJ-003,CO-001,Substitution - Plumbing Area D5,Substitution,Architect,Plumbing,Deductive,Field Condition,2023-10-19,2023-11-14,2023-12-04,2023-11-30,2023-12-19,2023-12-21,Approved,-160000,-161000,-161000,0,0,1,Final,Field Directive,2023-12-26,Equipment
CO-00033,PRJ-003,CO-002,Schedule Acceleration - Civil Area C2,Schedule Acceleration,Subcontractor,Civil,Additive,RFI,2022-06-28,2022-07-03,2022-07-23,2022-07-13,,2022-07-19,Withdrawn,116000,,0,0,0,1,ROM,None,,Envelope
CO-00034,PRJ-003,CO-003,Design Error or Omission - Electrical Area D2,Design Error or Omission,Architect,Electrical,Additive,Submittal Review,2023-07-19,2023-07-26,2023-08-15,2023-08-12,2023-08-20,2023-08-26,Approved,79000,75000,74000,0,0,0,Final,Owner Authorization,2023-08-24,General Conditions
CO-00035,PRJ-003,CO-004,Schedule Acceleration - Electrical Area C8,Schedule Acceleration,Construction Manager,Electrical,Additive,RFI,2023-08-01,2023-08-09,2023-08-29,2023-08-15,2023-08-25,2023-09-04,Approved,49000,49000,50000,0,0,0,Final,Executed Change Order,2023-08-30,Envelope
CO-00036,PRJ-003,CO-005,Substitution - Controls Area C8,Substitution,Owner,Controls,Additive,Design Revision,2023-05-31,2023-06-05,2023-06-25,2023-06-14,2023-06-26,2023-06-30,Approved,98000,81000,80000,0,0,0,Final,Owner Authorization,2023-06-28,Interiors
CO-00037,PRJ-003,CO-006,Quantity Variation - Electrical Area D3,Quantity Variation,Subcontractor,Electrical,Additive,Design Revision,2023-06-10,2023-06-14,2023-07-04,2023-06-28,2023-07-05,2023-07-12,Approved,35000,33000,32000,0,0,1,Final,Owner Authorization,2023-07-07,Concrete
CO-00038,PRJ-003,CO-007,Design Error or Omission - Civil Area C3,Design Error or Omission,Subcontractor,Civil,Additive,Submittal Review,2023-08-13,2023-08-20,2023-09-09,2023-08-25,2023-09-01,2023-09-02,Approved,26000,20000,20000,0,0,0,Final,Construction Change Directive,2023-09-07,MEP
CO-00039,PRJ-003,CO-008,Unforeseen Condition - Structural Area B5,Unforeseen Condition,Engineer,Structural,Additive,RFI,2023-06-23,2023-07-01,2023-07-21,2023-07-20,2023-07-30,2023-08-03,Approved,85000,83000,81000,11,6,0,Final,Executed Change Order,2023-08-08,Envelope
CO-00040,PRJ-003,CO-009,Code or Regulatory Requirement - Architectural Area A9,Code or Regulatory Requirement,Authority Having Jurisdiction,Architectural,Additive,RFI,2023-08-04,2023-08-15,2023-09-04,2023-09-02,2023-09-12,2023-09-14,Approved,296000,265000,269000,0,0,2,Final,Owner Authorization,2023-09-27,Interiors
CO-00041,PRJ-003,CO-010,Schedule Acceleration - Civil Area B7,Schedule Acceleration,General Contractor,Civil,Additive,RFI,2023-06-11,2023-06-15,2023-07-05,2023-06-21,2023-06-28,2023-07-02,Approved,133000,106000,107000,0,0,0,Final,Owner Authorization,2023-07-05,Sitework
CO-00042,PRJ-004,CO-001,Design Error or Omission - Structural Area A5,Design Error or Omission,Architect,Structural,Additive,RFI,2025-11-16,2025-11-21,2025-12-11,2025-11-25,,,Pending,823000,,,0,0,0,Negotiating,None,,General Conditions
CO-00043,PRJ-004,CO-002,Quantity Variation - Civil Area C8,Quantity Variation,Subcontractor,Civil,Deductive,Field Condition,2025-03-22,2025-03-27,2025-04-16,2025-04-02,2025-04-12,2025-04-19,Approved,-425000,-422000,-411000,0,0,1,Final,Executed Change Order,2025-04-15,Envelope
CO-00044,PRJ-004,CO-003,Unforeseen Condition - Mechanical Area D7,Unforeseen Condition,General Contractor,Mechanical,Additive,Field Condition,2025-06-10,2025-06-25,2025-07-15,2025-06-29,2025-07-03,2025-07-05,Approved,710000,717000,704000,0,0,0,Final,Executed Change Order,2025-07-07,Envelope
CO-00045,PRJ-004,CO-004,Design Error or Omission - Plumbing Area C10,Design Error or Omission,Architect,Plumbing,Additive,RFI,2024-10-19,2024-10-29,2024-11-18,2024-11-14,,2024-11-28,Withdrawn,136000,,0,0,0,0,ROM,None,,MEP
CO-00046,PRJ-004,CO-005,Owner-Directed Change - Architectural Area B9,Owner-Directed Change,Owner,Architectural,Additive,Owner Request,2024-12-27,2025-01-02,2025-01-22,2025-01-11,,2025-01-15,Withdrawn,493000,,0,0,0,0,ROM,None,,MEP
CO-00047,PRJ-004,CO-006,Substitution - Electrical Area B3,Substitution,Authority Having Jurisdiction,Electrical,Additive,Submittal Review,2024-07-01,2024-07-06,2024-07-26,2024-07-09,,2024-07-16,Withdrawn,123000,,0,0,0,0,Submitted,None,,Interiors
CO-00048,PRJ-004,CO-007,Owner-Directed Change - General Area D4,Owner-Directed Change,Architect,General,Additive,Owner Request,2024-06-15,2024-06-16,2024-07-06,2024-06-22,2024-06-30,2024-07-05,Approved,1781000,1385000,1345000,0,0,1,Final,Construction Change Directive,2024-07-05,Interiors
CO-00049,PRJ-004,CO-008,Code or Regulatory Requirement - Controls Area B5,Code or Regulatory Requirement,Subcontractor,Controls,Additive,Schedule Recovery,2025-02-23,2025-02-25,2025-03-17,2025-03-12,2025-03-22,2025-03-23,Approved,216000,210000,213000,5,3,0,Final,Owner Authorization,2025-04-03,MEP
CO-00050,PRJ-004,CO-009,Design Error or Omission - Architectural Area C10,Design Error or Omission,Subcontractor,Architectural,Zero-Cost,RFI,2025-01-11,2025-01-13,2025-02-02,2025-01-20,2025-01-29,2025-02-07,Approved,0,0,0,0,0,1,Final,Executed Change Order,2025-02-09,MEP
CO-00051,PRJ-004,CO-010,Owner-Directed Change - Civil Area A3,Owner-Directed Change,Owner,Civil,Additive,Owner Request,2025-08-16,2025-08-21,2025-09-10,2025-08-27,,,Pending,532000,,,0,0,0,Negotiating,None,,Interiors
CO-00052,PRJ-004,CO-011,Owner-Directed Change - Controls Area A10,Owner-Directed Change,Owner,Controls,Additive,Owner Request,2024-05-31,2024-06-02,2024-06-22,2024-06-07,2024-06-11,2024-06-17,Approved,334000,292000,288000,41,34,0,Final,Executed Change Order,2024-06-18,Equipment
CO-00053,PRJ-004,CO-012,Code or Regulatory Requirement - Plumbing Area A10,Code or Regulatory Requirement,General Contractor,Plumbing,Additive,Field Condition,2025-09-10,2025-09-14,2025-10-04,2025-09-29,2025-10-06,2025-10-16,Approved,309000,269000,271000,0,0,1,Final,Owner Authorization,2025-10-17,Sitework
CO-00054,PRJ-005,CO-001,Owner-Directed Change - Fire Protection Area A10,Owner-Directed Change,Owner,Fire Protection,Additive,Owner Request,2025-11-24,2025-11-26,2025-12-16,2025-12-14,,2025-12-27,Withdrawn,230000,,0,0,0,1,Submitted,None,,Concrete
CO-00055,PRJ-005,CO-002,Design Error or Omission - Structural Area B9,Design Error or Omission,Engineer,Structural,Additive,RFI,2024-06-22,2024-06-27,2024-07-17,2024-07-16,,,Pending,400000,426000,,0,0,0,Negotiating,None,,Envelope
CO-00056,PRJ-005,CO-003,Unforeseen Condition - General Area D10,Unforeseen Condition,General Contractor,General,Additive,Field Condition,2023-10-20,2023-10-26,2023-11-15,2023-11-06,,,Pending,323000,345000,,0,0,0,Negotiating,None,,Interiors
CO-00057,PRJ-005,CO-004,Unforeseen Condition - Civil Area C10,Unforeseen Condition,Subcontractor,Civil,Additive,RFI,2024-07-23,2024-07-28,2024-08-17,2024-08-14,2024-08-22,2024-08-27,Approved,113000,96000,96000,0,0,0,Final,Executed Change Order,2024-08-27,MEP
CO-00058,PRJ-005,CO-005,Design Error or Omission - General Area B10,Design Error or Omission,Construction Manager,General,Additive,RFI,2024-03-22,2024-03-26,2024-04-15,2024-04-10,2024-05-03,2024-05-08,Approved,706000,695000,698000,0,0,1,Final,Executed Change Order,2024-05-14,Metals
CO-00059,PRJ-005,CO-006,Value Engineering - Mechanical Area C8,Value Engineering,Architect,Mechanical,Additive,RFI,2025-10-18,2025-10-21,2025-11-10,2025-11-07,,,Pending,127000,101000,,0,0,0,Pricing in Progress,None,,Envelope
CO-00060,PRJ-005,CO-007,Owner-Directed Change - Specialty Systems Area A7,Owner-Directed Change,Construction Manager,Specialty Systems,Additive,Owner Request,2024-01-26,2024-02-03,2024-02-23,2024-02-15,2024-02-25,2024-02-29,Approved,278000,288000,285000,0,0,0,Final,Executed Change Order,2024-02-29,Specialties
CO-00061,PRJ-005,CO-008,Code or Regulatory Requirement - Architectural Area C4,Code or Regulatory Requirement,Owner,Architectural,Additive,Field Condition,2025-02-08,2025-02-12,2025-03-04,2025-02-22,,,Pending,243000,,,0,0,0,ROM,None,,MEP
CO-00062,PRJ-006,CO-001,Owner-Directed Change - Architectural Area C10,Owner-Directed Change,Owner,Architectural,Zero-Cost,Owner Request,2023-11-12,2023-11-14,2023-12-04,2023-12-04,2023-12-16,2023-12-18,Approved,0,0,0,0,0,0,Final,Executed Change Order,2023-12-21,MEP
CO-00063,PRJ-006,CO-002,Unforeseen Condition - Electrical Area B8,Unforeseen Condition,General Contractor,Electrical,Additive,Field Condition,2023-01-02,2023-01-08,2023-01-28,2023-02-04,,,Pending,897000,,,0,0,1,Pricing in Progress,None,,Sitework
CO-00064,PRJ-006,CO-003,Design Error or Omission - General Area A10,Design Error or Omission,Engineer,General,Additive,Design Revision,2022-07-20,2022-07-23,2022-08-12,2022-08-29,2022-10-03,2022-10-08,Approved,525000,442000,450000,0,0,1,Final,Owner Authorization,2022-10-06,MEP
CO-00065,PRJ-006,CO-004,Scope Clarification - Electrical Area B9,Scope Clarification,Construction Manager,Electrical,Additive,Submittal Review,2024-06-20,2024-06-27,2024-07-17,2024-08-02,,,Pending,62000,,,0,0,0,Negotiating,None,,MEP
CO-00066,PRJ-006,CO-005,Owner-Directed Change - Electrical Area C8,Owner-Directed Change,Owner,Electrical,Zero-Cost,Owner Request,2023-06-07,2023-06-12,2023-07-02,2023-06-26,2023-07-05,2023-07-06,Approved,0,0,0,11,6,0,Final,Executed Change Order,2023-08-14,MEP
CO-00067,PRJ-006,CO-006,Unforeseen Condition - General Area B1,Unforeseen Condition,General Contractor,General,Additive,RFI,2024-04-11,2024-04-16,2024-05-06,2024-05-11,2024-05-23,2024-05-26,Approved,366000,327000,322000,0,0,0,Final,Executed Change Order,2024-05-29,Sitework
CO-00068,PRJ-006,CO-007,Unforeseen Condition - Fire Protection Area B7,Unforeseen Condition,Engineer,Fire Protection,Additive,Field Condition,2023-09-15,2023-09-20,2023-10-10,2023-10-04,,,Pending,1464000,1217000,,0,0,1,Submitted,None,,General Conditions
CO-00069,PRJ-006,CO-008,Scope Clarification - Electrical Area B8,Scope Clarification,Owner,Electrical,Deductive,Owner Request,2022-04-03,2022-04-16,2022-05-06,2022-04-20,2022-04-29,2022-05-06,Approved,-9400,-8900,-8800,0,0,0,Final,Executed Change Order,2022-05-03,MEP
CO-00070,PRJ-006,CO-009,Design Error or Omission - Specialty Systems Area B4,Design Error or Omission,Architect,Specialty Systems,Deductive,Submittal Review,2024-08-02,2024-08-04,2024-08-24,2024-08-30,,2024-09-23,Rejected,-282000,-227000,0,0,0,2,Final,None,,General Conditions
CO-00071,PRJ-006,CO-010,Owner-Directed Change - Mechanical Area C6,Owner-Directed Change,Owner,Mechanical,Additive,Owner Request,2024-09-04,2024-09-11,2024-10-01,2024-09-28,2024-10-17,2024-10-19,Approved,664000,627000,637000,0,0,1,Final,Owner Authorization,2024-10-23,Equipment
CO-00072,PRJ-006,CO-011,Code or Regulatory Requirement - Specialty Systems Area B7,Code or Regulatory Requirement,Architect,Specialty Systems,Zero-Cost,Field Condition,2022-10-02,2022-10-09,2022-10-29,2022-10-15,2022-10-28,2022-11-06,Approved,0,0,0,2,1,0,Final,Construction Change Directive,2022-11-04,Concrete
CO-00073,PRJ-006,CO-012,Schedule Acceleration - General Area A6,Schedule Acceleration,Architect,General,Additive,Field Condition,2024-05-19,2024-05-25,2024-06-14,2024-06-24,,,Pending,413000,424000,,10,0,0,ROM,None,,Envelope
CO-00074,PRJ-006,CO-013,Unforeseen Condition - Plumbing Area C7,Unforeseen Condition,Subcontractor,Plumbing,Deductive,Field Condition,2022-03-09,2022-03-11,2022-03-31,2022-03-15,,2022-03-24,Rejected,-713000,-488000,0,0,0,0,Final,None,,Concrete
CO-00075,PRJ-006,CO-014,Value Engineering - Controls Area D4,Value Engineering,General Contractor,Controls,Additive,Design Revision,2024-01-27,2024-01-29,2024-02-18,2024-02-10,2024-02-26,2024-03-01,Approved,215000,205000,206000,0,0,1,Final,Executed Change Order,,Equipment
CO-00076,PRJ-007,CO-001,Scope Clarification - Structural Area D7,Scope Clarification,Owner,Structural,Time Only,Design Revision,2025-04-01,2025-04-14,2025-05-04,2025-04-28,2025-05-16,2025-05-22,Approved,0,0,0,12,8,1,Final,Owner Authorization,2025-05-23,Envelope
CO-00077,PRJ-007,CO-002,Substitution - Specialty Systems Area B7,Substitution,Engineer,Specialty Systems,Additive,Schedule Recovery,2024-06-22,2024-06-28,2024-07-18,2024-07-03,2024-07-10,2024-07-11,Approved,139000,123000,124000,0,0,0,Final,Executed Change Order,2024-07-28,Metals
CO-00078,PRJ-007,CO-003,Value Engineering - Mechanical Area C4,Value Engineering,Architect,Mechanical,Additive,Schedule Recovery,2025-01-08,2025-01-15,2025-02-04,2025-01-31,2025-02-22,2025-03-04,Approved,29000,28000,27000,0,0,1,Final,Owner Authorization,2025-03-06,Equipment
CO-00079,PRJ-007,CO-004,Owner-Directed Change - General Area C7,Owner-Directed Change,Owner,General,Additive,Owner Request,2024-12-05,2024-12-12,2025-01-01,2024-12-31,2025-01-18,2025-01-22,Approved,168000,146000,148000,0,0,1,Final,Executed Change Order,2025-02-07,Envelope
CO-00080,PRJ-007,CO-005,Scope Clarification - Plumbing Area B8,Scope Clarification,Construction Manager,Plumbing,Additive,RFI,2025-02-02,2025-02-05,2025-02-25,2025-02-11,2025-02-21,2025-02-22,Approved,1331000,1204000,1198000,7,4,0,Final,Executed Change Order,2025-02-24,Envelope
CO-00081,PRJ-007,CO-006,Quantity Variation - Plumbing Area A7,Quantity Variation,General Contractor,Plumbing,Additive,Owner Request,2025-05-21,2025-05-23,2025-06-12,2025-06-05,2025-06-11,2025-06-12,Approved,32000,27000,26000,0,0,1,Final,Owner Authorization,2025-06-24,Concrete
CO-00082,PRJ-007,CO-007,Owner-Directed Change - Structural Area D2,Owner-Directed Change,Owner,Structural,Additive,Owner Request,2025-11-13,2025-11-23,2025-12-13,2025-12-04,2025-12-16,2025-12-21,Approved,98000,90000,91000,0,0,1,Final,Executed Change Order,2025-12-18,Interiors
CO-00083,PRJ-007,CO-008,Scope Clarification - Architectural Area D1,Scope Clarification,Authority Having Jurisdiction,Architectural,Additive,Field Condition,2024-07-12,2024-07-22,2024-08-11,2024-07-30,2024-08-09,2024-08-17,Approved,252000,196000,190000,0,0,0,Final,Construction Change Directive,2024-08-12,Interiors
CO-00084,PRJ-007,CO-009,Code or Regulatory Requirement - Structural Area A6,Code or Regulatory Requirement,Engineer,Structural,Additive,Design Revision,2025-01-03,2025-01-07,2025-01-27,2025-02-02,2025-02-16,2025-02-25,Approved,104000,96000,97000,2,1,1,Final,Executed Change Order,2025-02-20,Equipment
CO-00085,PRJ-008,CO-001,Schedule Acceleration - Specialty Systems Area C3,Schedule Acceleration,Subcontractor,Specialty Systems,Additive,RFI,2022-06-28,2022-07-23,2022-08-12,2022-08-16,,,Pending,192000,180000,,0,0,0,Pricing in Progress,None,,General Conditions
CO-00086,PRJ-008,CO-002,Substitution - Mechanical Area A9,Substitution,Engineer,Mechanical,Additive,RFI,2022-11-17,2022-11-25,2022-12-15,2022-12-09,2022-12-27,2023-01-01,Approved,201000,159000,156000,0,0,1,Final,Owner Authorization,2023-01-10,Envelope
CO-00087,PRJ-008,CO-003,Scope Clarification - Plumbing Area C7,Scope Clarification,Construction Manager,Plumbing,Deductive,RFI,2023-06-28,2023-07-18,2023-08-07,2023-08-02,2023-08-25,2023-09-02,Approved,-239000,-213000,-206000,3,2,1,Final,Owner Authorization,2023-09-12,Equipment
CO-00088,PRJ-008,CO-004,Owner-Directed Change - Specialty Systems Area A10,Owner-Directed Change,Owner,Specialty Systems,Additive,Owner Request,2023-06-09,2023-06-28,2023-07-18,2023-07-20,2023-08-12,2023-08-17,Approved,502000,433000,426000,3,2,1,Final,Construction Change Directive,2023-08-18,MEP
CO-00089,PRJ-008,CO-005,Value Engineering - Mechanical Area A3,Value Engineering,General Contractor,Mechanical,Additive,RFI,2023-06-12,2023-06-17,2023-07-07,2023-07-01,2023-07-18,2023-07-26,Approved,255000,258000,262000,0,0,1,Final,Executed Change Order,2023-07-21,MEP
CO-00090,PRJ-008,CO-006,Quantity Variation - Electrical Area B8,Quantity Variation,Engineer,Electrical,Additive,Submittal Review,2022-09-20,2022-09-22,2022-10-12,2022-10-15,2022-11-28,2022-12-07,Approved,196000,181000,176000,0,0,0,Final,Executed Change Order,2022-12-10,Metals
CO-00091,PRJ-008,CO-007,Substitution - General Area C8,Substitution,Owner,General,Additive,Schedule Recovery,2022-08-02,2022-08-10,2022-08-30,2022-08-22,,2022-09-15,Rejected,58000,33000,0,0,0,1,Final,None,,Specialties
CO-00092,PRJ-008,CO-008,Design Error or Omission - Structural Area B10,Design Error or Omission,Engineer,Structural,Additive,RFI,2023-09-09,2023-09-13,2023-10-03,2023-10-21,2023-11-16,2023-11-20,Approved,129000,118000,118000,0,0,1,Final,Owner Authorization,2023-11-23,Envelope
CO-00093,PRJ-008,CO-009,Owner-Directed Change - Mechanical Area D9,Owner-Directed Change,Construction Manager,Mechanical,Additive,Owner Request,2022-05-23,2022-05-30,2022-06-19,2022-06-12,2022-06-24,2022-06-28,Approved,286000,236000,231000,0,0,0,Final,Executed Change Order,,Specialties
CO-00094,PRJ-008,CO-010,Code or Regulatory Requirement - Electrical Area C5,Code or Regulatory Requirement,Owner,Electrical,Additive,Design Revision,2023-05-24,2023-06-05,2023-06-25,2023-06-16,2023-06-25,2023-07-02,Approved,140000,145000,140000,0,0,0,Final,Construction Change Directive,2023-07-05,Interiors
