Event_ID,Project_ID,Item_Type,Item_ID,Event_Sequence,Event_Timestamp,From_Status,To_Status,Action_By_Role,Assigned_To_Role,Event_Action,Revision_Number,Decision_Required_Flag,Comment_Category
EVT-000019,PRJ-001,RFI,RFI-00009,1,2024-04-12T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000020,PRJ-001,RFI,RFI-00009,2,2024-04-15T15:00,Submitted,Answered,Engineer,Subcontractor,Respond,0,No,Final response
EVT-000021,PRJ-001,RFI,RFI-00010,1,2024-12-28T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000022,PRJ-001,RFI,RFI-00010,2,2025-01-02T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000023,PRJ-001,RFI,RFI-00011,1,2024-04-05T08:00,,Submitted,Subcontractor,Construction Manager,Submit,0,Yes,Initial submission
EVT-000024,PRJ-001,RFI,RFI-00011,2,2024-04-13T15:00,Submitted,Answered,Construction Manager,Subcontractor,Respond,0,No,Final response
EVT-000025,PRJ-001,RFI,RFI-00012,1,2025-03-06T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000026,PRJ-001,RFI,RFI-00012,2,2025-03-10T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000027,PRJ-001,RFI,RFI-00013,1,2024-08-30T08:00,,Submitted,General Contractor,Owner Representative,Submit,0,Yes,Initial submission
EVT-000028,PRJ-001,RFI,RFI-00013,2,2024-09-01T15:00,Submitted,Closed,Owner Representative,General Contractor,Respond and close,0,No,Final response
EVT-000029,PRJ-001,RFI,RFI-00014,1,2025-03-23T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000030,PRJ-001,RFI,RFI-00014,2,2025-04-01T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000031,PRJ-001,RFI,RFI-00015,1,2025-03-05T08:00,,Submitted,Construction Manager,Owner Representative,Submit,0,Yes,Initial submission
EVT-000032,PRJ-001,RFI,RFI-00015,2,2025-03-09T15:00,Submitted,Closed,Owner Representative,Construction Manager,Respond and close,0,No,Final response
EVT-000033,PRJ-001,RFI,RFI-00016,1,2024-10-23T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000034,PRJ-001,RFI,RFI-00016,2,2024-10-31T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000035,PRJ-001,RFI,RFI-00017,1,2024-06-30T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000036,PRJ-001,RFI,RFI-00017,2,2024-07-05T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000037,PRJ-001,RFI,RFI-00018,1,2025-03-07T08:00,,Submitted,General Contractor,Owner Representative,Submit,0,Yes,Initial submission
EVT-000038,PRJ-001,RFI,RFI-00018,2,2025-03-14T15:00,Submitted,Closed,Owner Representative,General Contractor,Respond and close,0,No,Final response
EVT-000039,PRJ-001,RFI,RFI-00019,1,2024-09-11T08:00,,Submitted,Subcontractor,Construction Manager,Submit,0,Yes,Initial submission
EVT-000040,PRJ-001,RFI,RFI-00019,2,2024-09-15T15:00,Submitted,Closed,Construction Manager,Subcontractor,Respond and close,0,No,Final response
EVT-000041,PRJ-001,RFI,RFI-00020,1,2025-02-17T08:00,,Submitted,Construction Manager,Engineer,Submit,0,Yes,Initial submission
EVT-000042,PRJ-001,RFI,RFI-00020,2,2025-02-21T15:00,Submitted,Closed,Engineer,Construction Manager,Respond and close,0,No,Final response
EVT-000043,PRJ-001,RFI,RFI-00021,1,2024-10-29T08:00,,Submitted,General Contractor,Architect,Submit,0,Yes,Initial submission
EVT-000044,PRJ-001,RFI,RFI-00021,2,2024-11-11T11:00,Submitted,In Review,Design Manager,Architect,Assign or escalate,0,Yes,Current open status
EVT-000045,PRJ-001,RFI,RFI-00022,1,2024-08-29T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000046,PRJ-001,RFI,RFI-00022,2,2024-09-06T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000047,PRJ-001,RFI,RFI-00023,1,2024-10-14T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000048,PRJ-001,RFI,RFI-00023,2,2024-10-22T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000049,PRJ-001,RFI,RFI-00024,1,2024-12-04T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000050,PRJ-001,RFI,RFI-00024,2,2024-12-10T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000051,PRJ-001,RFI,RFI-00025,1,2024-06-17T08:00,,Submitted,Subcontractor,Design Manager,Submit,0,Yes,Initial submission
EVT-000052,PRJ-001,RFI,RFI-00025,2,2024-06-25T15:00,Submitted,Closed,Design Manager,Subcontractor,Respond and close,0,No,Final response
EVT-000053,PRJ-001,RFI,RFI-00026,1,2024-06-04T08:00,,Submitted,Subcontractor,Construction Manager,Submit,0,Yes,Initial submission
EVT-000054,PRJ-001,RFI,RFI-00026,2,2024-06-08T15:00,Submitted,Closed,Construction Manager,Subcontractor,Respond and close,0,No,Final response
EVT-000055,PRJ-001,RFI,RFI-00027,1,2024-12-02T08:00,,Submitted,Construction Manager,Construction Manager,Submit,0,Yes,Initial submission
EVT-000056,PRJ-001,RFI,RFI-00027,2,2024-12-10T15:00,Submitted,Closed,Construction Manager,Construction Manager,Respond and close,0,No,Final response
EVT-000057,PRJ-001,RFI,RFI-00028,1,2024-07-21T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000058,PRJ-001,RFI,RFI-00028,2,2024-07-27T15:00,Submitted,Answered,Engineer,Subcontractor,Respond,0,No,Final response
EVT-000059,PRJ-001,RFI,RFI-00029,1,2025-03-09T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000060,PRJ-001,RFI,RFI-00029,2,2025-03-11T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000061,PRJ-002,RFI,RFI-00030,1,2022-11-18T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000062,PRJ-002,RFI,RFI-00030,2,2022-11-28T15:00,Submitted,Answered,Engineer,Subcontractor,Respond,0,No,Final response
EVT-000063,PRJ-002,RFI,RFI-00031,1,2024-02-07T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000064,PRJ-002,RFI,RFI-00031,2,2024-02-24T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000065,PRJ-002,RFI,RFI-00032,1,2024-03-14T08:00,,Submitted,General Contractor,Design Manager,Submit,0,Yes,Initial submission
EVT-000066,PRJ-002,RFI,RFI-00032,2,2024-03-22T11:00,Submitted,Awaiting Owner,Design Manager,Design Manager,Assign or escalate,0,Yes,Current open status
EVT-000067,PRJ-002,RFI,RFI-00033,1,2023-09-24T08:00,,Submitted,Subcontractor,Architect,Submit,0,Yes,Initial submission
EVT-000068,PRJ-002,RFI,RFI-00033,2,2023-10-04T15:00,Submitted,Answered,Architect,Subcontractor,Respond,0,No,Final response
EVT-000069,PRJ-002,RFI,RFI-00034,1,2024-02-16T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000070,PRJ-002,RFI,RFI-00034,2,2024-02-26T15:00,Submitted,Answered,Engineer,Subcontractor,Respond,0,No,Final response
EVT-000071,PRJ-002,RFI,RFI-00035,1,2023-12-09T08:00,,Submitted,Construction Manager,Engineer,Submit,0,Yes,Initial submission
EVT-000072,PRJ-002,RFI,RFI-00035,2,2023-12-20T15:00,Submitted,Answered,Engineer,Construction Manager,Respond,0,No,Final response
EVT-000073,PRJ-002,RFI,RFI-00036,1,2024-01-02T08:00,,Submitted,Subcontractor,Architect,Submit,0,Yes,Initial submission
EVT-000074,PRJ-002,RFI,RFI-00036,2,2024-01-13T15:00,Submitted,Closed,Architect,Subcontractor,Respond and close,0,No,Final response
EVT-000075,PRJ-002,RFI,RFI-00037,1,2023-02-18T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000076,PRJ-002,RFI,RFI-00037,2,2023-03-03T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000077,PRJ-002,RFI,RFI-00038,1,2022-07-09T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000078,PRJ-002,RFI,RFI-00038,2,2022-07-23T13:00,Submitted,Returned for Clarification,Engineer,General Contractor,Return,1,Yes,Insufficient information
EVT-000079,PRJ-002,RFI,RFI-00038,3,2022-07-29T15:00,Returned for Clarification,Closed,Engineer,General Contractor,Respond and close,1,No,Final response
EVT-000080,PRJ-002,RFI,RFI-00039,1,2023-07-11T08:00,,Submitted,General Contractor,Owner Representative,Submit,0,Yes,Initial submission
EVT-000081,PRJ-002,RFI,RFI-00039,2,2023-07-21T13:00,Submitted,Returned for Clarification,Owner Representative,General Contractor,Return,1,Yes,Insufficient information
EVT-000082,PRJ-002,RFI,RFI-00039,3,2023-07-26T15:00,Returned for Clarification,Answered,Owner Representative,General Contractor,Respond,1,No,Final response
EVT-000083,PRJ-002,RFI,RFI-00040,1,2024-07-06T08:00,,Submitted,Construction Manager,Engineer,Submit,0,Yes,Initial submission
EVT-000084,PRJ-002,RFI,RFI-00040,2,2024-07-20T15:00,Submitted,Closed,Engineer,Construction Manager,Respond and close,0,No,Final response
EVT-000085,PRJ-002,RFI,RFI-00041,1,2023-06-09T08:00,,Submitted,Construction Manager,Engineer,Submit,0,Yes,Initial submission
EVT-000086,PRJ-002,RFI,RFI-00041,2,2023-06-24T15:00,Submitted,Answered,Engineer,Construction Manager,Respond,0,No,Final response
EVT-000087,PRJ-002,RFI,RFI-00042,1,2022-11-08T08:00,,Submitted,Subcontractor,Design Manager,Submit,0,Yes,Initial submission
EVT-000088,PRJ-002,RFI,RFI-00042,2,2022-12-04T13:00,Submitted,Returned for Clarification,Design Manager,Subcontractor,Return,1,Yes,Insufficient information
EVT-000089,PRJ-002,RFI,RFI-00042,3,2022-12-09T15:00,Returned for Clarification,Closed,Design Manager,Subcontractor,Respond and close,1,No,Final response
EVT-000090,PRJ-002,RFI,RFI-00043,1,2023-10-11T08:00,,Submitted,General Contractor,Owner Representative,Submit,0,Yes,Initial submission
EVT-000091,PRJ-002,RFI,RFI-00043,2,2023-11-10T15:00,Submitted,Closed,Owner Representative,General Contractor,Respond and close,0,No,Final response
EVT-000092,PRJ-002,RFI,RFI-00044,1,2024-02-21T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000093,PRJ-002,RFI,RFI-00044,2,2024-02-27T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000094,PRJ-002,RFI,RFI-00045,1,2024-03-23T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000095,PRJ-002,RFI,RFI-00045,2,2024-03-29T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000096,PRJ-002,RFI,RFI-00046,1,2022-08-23T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000097,PRJ-002,RFI,RFI-00046,2,2022-09-04T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000098,PRJ-002,RFI,RFI-00047,1,2023-11-11T08:00,,Submitted,Construction Manager,Design Manager,Submit,0,Yes,Initial submission
EVT-000099,PRJ-002,RFI,RFI-00047,2,2023-11-17T13:00,Submitted,Returned for Clarification,Design Manager,Construction Manager,Return,1,Yes,Insufficient information
EVT-000100,PRJ-002,RFI,RFI-00047,3,2023-11-25T11:00,Submitted,Open,Design Manager,Design Manager,Assign or escalate,1,Yes,Current open status
EVT-000101,PRJ-002,RFI,RFI-00048,1,2023-04-10T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000102,PRJ-002,RFI,RFI-00048,2,2023-04-19T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000103,PRJ-002,RFI,RFI-00049,1,2024-06-17T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000104,PRJ-002,RFI,RFI-00049,2,2024-06-28T11:00,Submitted,Open,Design Manager,Engineer,Assign or escalate,0,Yes,Current open status
EVT-000105,PRJ-002,RFI,RFI-00050,1,2024-03-16T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000106,PRJ-002,RFI,RFI-00050,2,2024-03-25T13:00,Submitted,Returned for Clarification,Engineer,General Contractor,Return,1,Yes,Insufficient information
EVT-000107,PRJ-002,RFI,RFI-00050,3,2024-03-31T15:00,Returned for Clarification,Closed,Engineer,General Contractor,Respond and close,1,No,Final response
EVT-000108,PRJ-002,RFI,RFI-00051,1,2023-03-17T08:00,,Submitted,Subcontractor,Owner Representative,Submit,0,Yes,Initial submission
EVT-000109,PRJ-002,RFI,RFI-00051,2,2023-03-27T15:00,Submitted,Answered,Owner Representative,Subcontractor,Respond,0,No,Final response
EVT-000110,PRJ-002,RFI,RFI-00052,1,2023-12-14T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000111,PRJ-002,RFI,RFI-00052,2,2023-12-23T15:00,Submitted,Answered,Engineer,General Contractor,Respond,0,No,Final response
EVT-000112,PRJ-002,RFI,RFI-00053,1,2023-01-24T08:00,,Submitted,Construction Manager,Engineer,Submit,0,Yes,Initial submission
EVT-000113,PRJ-002,RFI,RFI-00053,2,2023-01-30T13:00,Submitted,Returned for Clarification,Engineer,Construction Manager,Return,1,Yes,Insufficient information
EVT-000114,PRJ-002,RFI,RFI-00053,3,2023-02-08T15:00,Returned for Clarification,Closed,Engineer,Construction Manager,Respond and close,1,No,Final response
EVT-000115,PRJ-002,RFI,RFI-00054,1,2024-06-02T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000116,PRJ-002,RFI,RFI-00054,2,2024-06-09T15:00,Submitted,Answered,Engineer,Subcontractor,Respond,0,No,Final response
EVT-000117,PRJ-002,RFI,RFI-00055,1,2022-12-25T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000118,PRJ-002,RFI,RFI-00055,2,2023-01-10T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000119,PRJ-002,RFI,RFI-00056,1,2024-05-26T08:00,,Submitted,Construction Manager,Engineer,Submit,0,Yes,Initial submission
EVT-000120,PRJ-002,RFI,RFI-00056,2,2024-05-29T13:00,Submitted,Returned for Clarification,Engineer,Construction Manager,Return,1,Yes,Insufficient information
EVT-000121,PRJ-002,RFI,RFI-00056,3,2024-06-03T15:00,Returned for Clarification,Closed,Engineer,Construction Manager,Respond and close,1,No,Final response
EVT-000122,PRJ-002,RFI,RFI-00057,1,2022-06-12T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000123,PRJ-002,RFI,RFI-00057,2,2022-06-21T15:00,Submitted,Answered,Engineer,Subcontractor,Respond,0,No,Final response
EVT-000124,PRJ-002,RFI,RFI-00058,1,2022-12-05T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000125,PRJ-002,RFI,RFI-00058,2,2022-12-22T13:00,Submitted,Returned for Clarification,Engineer,General Contractor,Return,1,Yes,Insufficient information
EVT-000126,PRJ-002,RFI,RFI-00058,3,2022-12-28T15:00,Returned for Clarification,Closed,Engineer,General Contractor,Respond and close,1,No,Final response
EVT-000127,PRJ-002,RFI,RFI-00059,1,2023-02-10T08:00,,Submitted,Subcontractor,Architect,Submit,0,Yes,Initial submission
EVT-000128,PRJ-002,RFI,RFI-00059,2,2023-02-18T15:00,Submitted,Closed,Architect,Subcontractor,Respond and close,0,No,Final response
EVT-000129,PRJ-002,RFI,RFI-00060,1,2024-04-19T08:00,,Submitted,Subcontractor,Architect,Submit,0,Yes,Initial submission
EVT-000130,PRJ-002,RFI,RFI-00060,2,2024-04-29T15:00,Submitted,Closed,Architect,Subcontractor,Respond and close,0,No,Final response
EVT-000131,PRJ-002,RFI,RFI-00061,1,2024-01-11T08:00,,Submitted,Subcontractor,Architect,Submit,0,Yes,Initial submission
EVT-000132,PRJ-002,RFI,RFI-00061,2,2024-01-17T15:00,Submitted,Closed,Architect,Subcontractor,Respond and close,0,No,Final response
EVT-000133,PRJ-002,RFI,RFI-00062,1,2022-10-02T08:00,,Submitted,Subcontractor,Owner Representative,Submit,0,Yes,Initial submission
EVT-000134,PRJ-002,RFI,RFI-00062,2,2022-10-16T15:00,Submitted,Closed,Owner Representative,Subcontractor,Respond and close,0,No,Final response
EVT-000135,PRJ-002,RFI,RFI-00063,1,2022-06-25T08:00,,Submitted,Subcontractor,Architect,Submit,0,Yes,Initial submission
EVT-000136,PRJ-002,RFI,RFI-00063,2,2022-07-12T15:00,Submitted,Answered,Architect,Subcontractor,Respond,0,No,Final response
EVT-000137,PRJ-002,RFI,RFI-00064,1,2022-09-27T08:00,,Submitted,Construction Manager,Engineer,Submit,0,Yes,Initial submission
EVT-000138,PRJ-002,RFI,RFI-00064,2,2022-10-09T15:00,Submitted,Closed,Engineer,Construction Manager,Respond and close,0,No,Final response
EVT-000139,PRJ-002,RFI,RFI-00065,1,2024-03-26T08:00,,Submitted,Construction Manager,Architect,Submit,0,Yes,Initial submission
EVT-000140,PRJ-002,RFI,RFI-00065,2,2024-04-01T15:00,Submitted,Closed,Architect,Construction Manager,Respond and close,0,No,Final response
EVT-000141,PRJ-002,RFI,RFI-00066,1,2023-10-05T08:00,,Submitted,Construction Manager,Owner Representative,Submit,0,Yes,Initial submission
EVT-000142,PRJ-002,RFI,RFI-00066,2,2023-10-08T13:00,Submitted,Returned for Clarification,Owner Representative,Construction Manager,Return,1,Yes,Insufficient information
EVT-000143,PRJ-002,RFI,RFI-00066,3,2023-10-12T11:00,Submitted,Awaiting Owner,Design Manager,Owner Representative,Assign or escalate,1,Yes,Current open status
EVT-000144,PRJ-002,RFI,RFI-00067,1,2024-02-24T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000145,PRJ-002,RFI,RFI-00067,2,2024-03-04T15:00,Submitted,Answered,Engineer,Subcontractor,Respond,0,No,Final response
EVT-000146,PRJ-002,RFI,RFI-00068,1,2024-03-06T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000147,PRJ-002,RFI,RFI-00068,2,2024-03-30T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000148,PRJ-002,RFI,RFI-00069,1,2022-07-27T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000149,PRJ-002,RFI,RFI-00069,2,2022-08-24T13:00,Submitted,Returned for Clarification,Engineer,General Contractor,Return,1,Yes,Insufficient information
EVT-000150,PRJ-002,RFI,RFI-00069,3,2022-08-30T15:00,Returned for Clarification,Closed,Engineer,General Contractor,Respond and close,1,No,Final response
EVT-000151,PRJ-002,RFI,RFI-00070,1,2023-05-17T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000152,PRJ-002,RFI,RFI-00070,2,2023-05-25T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000153,PRJ-002,RFI,RFI-00071,1,2023-01-09T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000154,PRJ-002,RFI,RFI-00071,2,2023-01-16T13:00,Submitted,Returned for Clarification,Engineer,General Contractor,Return,1,Yes,Insufficient information
EVT-000155,PRJ-002,RFI,RFI-00071,3,2023-01-22T15:00,Returned for Clarification,Answered,Engineer,General Contractor,Respond,1,No,Final response
EVT-000156,PRJ-002,RFI,RFI-00072,1,2022-12-27T08:00,,Submitted,General Contractor,Architect,Submit,0,Yes,Initial submission
EVT-000157,PRJ-002,RFI,RFI-00072,2,2022-12-29T11:00,Submitted,Awaiting Designer,Design Manager,Architect,Assign or escalate,0,Yes,Current open status
EVT-000158,PRJ-002,RFI,RFI-00073,1,2023-12-23T08:00,,Submitted,Subcontractor,Architect,Submit,0,Yes,Initial submission
EVT-000159,PRJ-002,RFI,RFI-00073,2,2023-12-29T13:00,Submitted,Returned for Clarification,Architect,Subcontractor,Return,1,Yes,Insufficient information
EVT-000160,PRJ-002,RFI,RFI-00073,3,2024-01-07T15:00,Returned for Clarification,Answered,Architect,Subcontractor,Respond,1,No,Final response
EVT-000161,PRJ-002,RFI,RFI-00074,1,2023-08-29T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000162,PRJ-002,RFI,RFI-00074,2,2023-09-03T11:00,Submitted,Open,Design Manager,Engineer,Assign or escalate,0,Yes,Current open status
EVT-000163,PRJ-002,RFI,RFI-00075,1,2023-06-11T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000164,PRJ-002,RFI,RFI-00075,2,2023-06-16T13:00,Submitted,Returned for Clarification,Engineer,General Contractor,Return,1,Yes,Insufficient information
EVT-000165,PRJ-002,RFI,RFI-00075,3,2023-06-23T15:00,Returned for Clarification,Closed,Engineer,General Contractor,Respond and close,1,No,Final response
EVT-000166,PRJ-002,RFI,RFI-00076,1,2022-06-22T08:00,,Submitted,Subcontractor,Design Manager,Submit,0,Yes,Initial submission
EVT-000167,PRJ-002,RFI,RFI-00076,2,2022-06-30T13:00,Submitted,Returned for Clarification,Design Manager,Subcontractor,Return,1,Yes,Insufficient information
EVT-000168,PRJ-002,RFI,RFI-00076,3,2022-07-07T15:00,Returned for Clarification,Closed,Design Manager,Subcontractor,Respond and close,1,No,Final response
EVT-000169,PRJ-002,RFI,RFI-00077,1,2024-06-16T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000170,PRJ-002,RFI,RFI-00077,2,2024-06-19T11:00,Submitted,Returned for Clarification,Design Manager,Engineer,Assign or escalate,0,Yes,Current open status
EVT-000171,PRJ-002,RFI,RFI-00078,1,2022-03-18T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000172,PRJ-002,RFI,RFI-00078,2,2022-03-27T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000173,PRJ-002,RFI,RFI-00079,1,2023-01-22T08:00,,Submitted,General Contractor,Architect,Submit,0,Yes,Initial submission
EVT-000174,PRJ-002,RFI,RFI-00079,2,2023-01-30T15:00,Submitted,Closed,Architect,General Contractor,Respond and close,0,No,Final response
EVT-000175,PRJ-002,RFI,RFI-00080,1,2023-01-15T08:00,,Submitted,Construction Manager,Engineer,Submit,0,Yes,Initial submission
EVT-000176,PRJ-002,RFI,RFI-00080,2,2023-01-23T15:00,Submitted,Answered,Engineer,Construction Manager,Respond,0,No,Final response
EVT-000177,PRJ-002,RFI,RFI-00081,1,2022-06-01T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000178,PRJ-002,RFI,RFI-00081,2,2022-06-20T13:00,Submitted,Returned for Clarification,Engineer,General Contractor,Return,1,Yes,Insufficient information
EVT-000179,PRJ-002,RFI,RFI-00081,3,2022-06-27T15:00,Returned for Clarification,Closed,Engineer,General Contractor,Respond and close,1,No,Final response
EVT-000180,PRJ-002,RFI,RFI-00082,1,2022-06-17T08:00,,Submitted,Construction Manager,Owner Representative,Submit,0,Yes,Initial submission
EVT-000181,PRJ-002,RFI,RFI-00082,2,2022-06-25T15:00,Submitted,Closed,Owner Representative,Construction Manager,Respond and close,0,No,Final response
EVT-000182,PRJ-002,RFI,RFI-00083,1,2022-08-23T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000183,PRJ-002,RFI,RFI-00083,2,2022-08-27T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000184,PRJ-002,RFI,RFI-00084,1,2023-05-06T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000185,PRJ-002,RFI,RFI-00084,2,2023-05-20T13:00,Submitted,Returned for Clarification,Engineer,Subcontractor,Return,1,Yes,Insufficient information
EVT-000186,PRJ-002,RFI,RFI-00084,3,2023-05-26T15:00,Returned for Clarification,Closed,Engineer,Subcontractor,Respond and close,1,No,Final response
EVT-000187,PRJ-002,RFI,RFI-00085,1,2022-07-22T08:00,,Submitted,General Contractor,Architect,Submit,0,Yes,Initial submission
