Project_ID,Project_Name,Project_Type,Delivery_Method,Complexity_Level,Digital_Coordination_Level,Owner_Decision_Profile,Original_Budget,RFI_Count,Responded_Count,Avg_Response_Days,On_Time_Count,Overdue_Open_Count,High_Critical_Overdue_Count,Cost_Impacted_RFI_Count,Actual_RFI_Cost_Impact,Actual_RFI_Schedule_Days,Linked_RFI_Count,Change_Count,Approved_Change_Count,Pending_Change_Count,Approved_Change_Value,Pending_Change_Exposure,Avg_Approval_Cycle_Days,Old_Pending_Count,Avg_Forecast_Lag_Days,Approved_Not_Incorporated_Count,Linked_Change_Count,Event_Count,Handoff_Count,Revision_Loop_Count,Avg_Stage_Duration_Days,On_Time_Rate_Pct,Overdue_Open_Rate_Pct,High_Critical_Overdue_Rate_Pct,RFI_to_Change_Rate_Pct,Pending_Exposure_Pct_Budget,Approved_Change_Pct_Budget,Approved_Not_Incorporated_Rate_Pct,Response_Points,Overdue_Points,High_Critical_Overdue_Points,Approval_Points,Pending_Exposure_Points,Forecast_Lag_Points,Not_Incorporated_Points,Workflow_Risk_Score,Red_Indicator_Count,Yellow_Indicator_Count,Workflow_Health
PRJ-081,Desert View Transit-Oriented Development,Mixed-Use,Design-Bid-Build,Moderate,High,Slow,140076000.0,38,33,11.181818181818182,16,5,1,9,335500.0,18,6,16,10,3,1734000.0,3374000.0,30.8,3,9.222222222222221,1,6,138,74,15,12.302142857142856,48.48,13.16,2.63,15.79,2.409,1.238,10.0,1,0,1,1,2,1,1,7,1,5,Red
PRJ-072,Evergreen Mixed-Use District,Mixed-Use,Design-Bid-Build,Very High,Moderate,Slow,151175000.0,60,55,21.927272727272726,6,5,0,21,706600.0,110,7,16,10,5,1042000.0,2512000.0,54.7,5,8.1,0,9,207,100,40,16.309923664122138,10.91,8.33,0.0,11.67,1.662,0.689,0.0,2,0,0,2,2,1,0,7,3,1,Red
PRJ-012,Canyon Corporate Center,Commercial,CMAR,Very High,Low,Standard,30602000.0,60,55,18.454545454545453,10,5,2,20,671100.0,126,8,14,10,3,260000.0,122000.0,40.8,2,6.777777777777778,1,8,186,92,25,15.358035714285714,18.18,8.33,3.33,13.33,0.399,0.85,10.0,2,0,1,2,0,1,1,7,2,3,Red
PRJ-068,Copper Ridge Neighborhood,Residential,CMAR,Moderate,Low,Standard,19443000.0,34,30,13.133333333333333,14,4,2,6,89100.0,38,2,8,6,2,433000.0,73000.0,27.0,2,5.25,2,2,107,51,17,10.52646153846154,46.67,11.76,5.88,5.88,0.375,2.227,33.33,1,0,2,1,0,1,2,7,2,3,Red
PRJ-042,Blue Mesa Retail Pavilion,Commercial,Design-Build,Very High,Moderate,Standard,23521000.0,30,29,15.655172413793103,6,1,1,15,312800.0,20,6,11,7,1,299000.0,88000.0,45.714285714285715,1,8.333333333333334,1,5,109,57,17,14.548382352941175,20.69,3.33,3.33,20.0,0.374,1.271,14.29,2,0,1,2,0,1,1,7,2,3,Red
PRJ-067,Riverbend Housing Community,Residential,CMAR,Very High,Low,Slow,19724000.0,36,32,18.9375,8,4,1,11,531000.0,47,8,14,8,3,198700.0,55000.0,41.375,3,7.857142857142857,1,8,133,68,19,16.847951807228913,25.0,11.11,2.78,22.22,0.279,1.007,12.5,2,0,1,2,0,1,1,7,2,3,Red
PRJ-008,Sunset Processing Plant,Industrial,IPD,Very High,Moderate,Slow,93076000.0,48,44,20.704545454545453,4,4,1,15,361400.0,74,13,20,16,2,2258000.0,192000.0,48.4375,2,9.0,1,14,182,100,27,18.57263157894737,9.09,8.33,2.08,27.08,0.206,2.426,6.25,2,0,1,2,0,1,1,7,2,3,Red
PRJ-029,Frontier Urban Village 2,Mixed-Use,Design-Bid-Build,High,Low,Standard,90078000.0,63,56,15.589285714285714,13,7,3,16,472000.0,76,5,15,6,2,1874000.0,2479000.0,22.333333333333332,2,4.0,0,5,195,93,26,12.845982905982906,23.21,11.11,4.76,7.94,2.752,2.08,0.0,2,0,1,1,2,0,0,6,2,2,Red
PRJ-087,Vista Marketplace 2,Commercial,CMAR,Very High,High,Standard,17547000.0,20,20,13.25,10,0,0,5,464200.0,7,6,11,6,3,84100.0,307000.0,36.333333333333336,3,9.166666666666666,0,7,81,43,8,13.671,50.0,0.0,0.0,30.0,1.75,0.479,0.0,1,0,0,2,2,1,0,6,2,2,Red
PRJ-057,Summit Community College,Institutional,IPD,High,Low,Fast,25635000.0,36,31,11.451612903225806,11,5,2,7,243200.0,26,5,10,6,2,309000.0,350000.0,25.333333333333332,2,5.333333333333333,0,5,119,60,18,9.81013698630137,35.48,13.89,5.56,13.89,1.365,1.205,0.0,1,0,2,1,1,1,0,6,1,4,Red
PRJ-080,Granite Water Facility,Heavy Civil & Infrastructure,CMAR,Moderate,Moderate,Standard,306719000.0,30,29,9.03448275862069,20,1,1,6,293500.0,7,6,13,9,2,5487000.0,3805000.0,28.88888888888889,2,10.75,1,8,111,63,12,11.070441176470588,68.97,3.33,3.33,20.0,1.241,1.789,11.11,0,0,1,1,1,2,1,6,1,4,Red
PRJ-065,Riverbend Marketplace,Commercial,Design-Bid-Build,Low,High,Standard,43110000.0,29,22,5.318181818181818,20,7,3,2,37000.0,14,3,9,5,2,139000.0,409000.0,18.8,2,4.333333333333333,2,4,91,44,7,7.57622641509434,90.91,24.14,10.34,10.34,0.949,0.322,40.0,0,1,2,0,1,0,2,6,2,2,Red
PRJ-036,Summit Medical Pavilion,Institutional,CMAR,High,Low,Slow,72447000.0,46,42,15.880952380952381,8,4,0,12,626800.0,35,9,11,8,2,1500000.0,664000.0,25.375,2,7.0,1,6,141,70,17,12.636309523809524,19.05,8.7,0.0,19.57,0.917,2.07,12.5,2,0,0,1,1,1,1,6,1,4,Red
PRJ-082,Sunset Office Campus,Commercial,CMAR,Moderate,Moderate,Standard,117378000.0,42,35,11.314285714285715,15,7,2,8,809600.0,17,6,11,8,2,1067000.0,1030000.0,18.75,2,7.428571428571429,1,5,134,63,19,9.676172839506172,42.86,16.67,4.76,14.29,0.878,0.909,12.5,1,1,1,0,1,1,1,6,0,6,Red
PRJ-059,Vista Transit-Oriented Development,Mixed-Use,IPD,Low,Moderate,Slow,93219000.0,36,32,8.3125,21,4,4,5,122200.0,12,4,8,5,2,206000.0,335000.0,20.6,2,7.5,1,3,103,55,7,8.335593220338984,65.62,11.11,11.11,11.11,0.359,0.221,20.0,0,0,2,1,0,1,2,6,2,2,Red
PRJ-026,Blue Mesa Processing Plant,Industrial,Design-Build,Low,Moderate,Fast,166383000.0,17,15,5.466666666666667,11,2,1,0,0.0,7,4,7,4,3,2940000.0,545000.0,20.75,3,8.0,1,4,57,30,2,8.283636363636363,73.33,11.76,5.88,23.53,0.328,1.767,25.0,0,0,2,1,0,1,2,6,2,2,Red
PRJ-043,Copper Ridge Apartments,Residential,CMAR,Very High,Moderate,Fast,66206000.0,35,31,11.161290322580646,11,4,2,12,396500.0,44,7,20,12,5,1440000.0,156000.0,25.75,5,7.545454545454546,1,6,153,82,23,10.750102040816326,35.48,11.43,5.71,20.0,0.236,2.175,8.33,1,0,2,1,0,1,1,6,1,4,Red
PRJ-002,Northstar Bridge Rehabilitation,Heavy Civil & Infrastructure,Design-Build,Very High,Moderate,Fast,245471000.0,65,56,13.660714285714286,21,9,6,18,457600.0,61,12,15,11,1,6180000.0,144000.0,29.181818181818183,1,5.0,3,12,206,100,32,10.945714285714287,37.5,13.85,9.23,18.46,0.059,2.518,27.27,1,0,2,1,0,0,2,6,2,2,Red
PRJ-023,Vista Retail Pavilion,Commercial,IPD,Very High,Low,Standard,36537000.0,40,37,18.08108108108108,5,3,2,15,919900.0,30,10,15,12,0,230000.0,0,39.0,0,8.333333333333334,0,9,144,75,20,16.741011235955057,13.51,7.5,5.0,25.0,0.0,0.629,0.0,2,0,1,2,0,1,0,6,2,2,Red
PRJ-027,Red Rock Town Center 2,Mixed-Use,Design-Bid-Build,High,High,Standard,244845000.0,56,52,11.134615384615385,27,4,1,17,563700.0,32,7,19,9,6,3357000.0,5490000.0,32.666666666666664,6,5.333333333333333,0,10,192,101,24,10.908632478632478,51.92,7.14,1.79,12.5,2.242,1.371,0.0,1,0,0,1,2,1,0,5,1,3,Yellow
PRJ-070,Liberty Manufacturing Facility,Industrial,Design-Bid-Build,High,Moderate,Standard,100372000.0,35,33,14.666666666666666,7,2,0,12,274400.0,36,4,12,6,4,1788000.0,1698000.0,27.5,4,5.666666666666667,0,4,121,63,16,12.71391891891892,21.21,5.71,0.0,11.43,1.692,1.781,0.0,1,0,0,1,2,1,0,5,1,3,Yellow
PRJ-032,Blue Mesa Research Center,Institutional,Design-Build,Moderate,Moderate,Standard,43278000.0,21,21,8.80952380952381,12,0,0,1,92000.0,20,6,12,8,3,1664000.0,652000.0,27.125,3,8.571428571428571,1,6,89,52,11,10.251607142857143,57.14,0.0,0.0,28.57,1.507,3.845,12.5,0,0,0,1,2,1,1,5,1,3,Yellow
PRJ-047,Desert View Marketplace,Commercial,CMAR,Low,High,Slow,75198000.0,24,22,7.2727272727272725,17,2,1,0,0.0,2,4,12,7,4,703000.0,924000.0,26.0,4,8.166666666666666,1,5,91,52,7,9.793454545454546,77.27,8.33,4.17,16.67,1.229,0.935,14.29,0,0,1,1,1,1,1,5,0,5,Yellow
PRJ-064,Riverbend Civic Complex,Institutional,Design-Bid-Build,Moderate,Low,Standard,89816000.0,32,27,11.074074074074074,14,5,1,4,96600.0,17,10,14,7,5,1816000.0,1051000.0,22.0,5,4.0,0,9,115,60,9,10.114492753623187,51.85,15.62,3.12,31.25,1.17,2.022,0.0,1,1,1,1,1,0,0,5,0,5,Yellow
PRJ-090,Sunset Neighborhood,Residential,IPD,High,High,Standard,64382000.0,41,34,11.676470588235293,18,6,0,7,415400.0,34,8,16,13,2,1435000.0,542000.0,26.076923076923077,2,8.0,1,10,150,77,20,10.739462365591397,52.94,14.63,0.0,19.51,0.842,2.229,7.69,1,0,0,1,1,1,1,5,0,5,Yellow
PRJ-055,Desert View Marketplace 2,Commercial,Design-Build,Moderate,Moderate,Standard,137364000.0,38,38,9.578947368421053,25,0,0,7,113300.0,33,4,8,4,3,-218000.0,956000.0,22.5,3,8.0,1,3,111,59,11,8.815076923076923,65.79,0.0,0.0,10.53,0.696,-0.159,25.0,0,0,0,1,1,1,2,5,1,3,Yellow
PRJ-086,Mountain Gate Processing Plant,Industrial,Design-Bid-Build,High,Moderate,Fast,119609000.0,43,41,9.268292682926829,21,2,1,9,328500.0,37,4,11,6,3,2694000.0,761000.0,22.5,3,5.0,2,6,138,74,19,8.808333333333334,51.22,4.65,2.33,9.3,0.636,2.252,33.33,0,0,1,1,1,0,2,5,1,3,Yellow
PRJ-040,Pioneer Roadway Program,Heavy Civil & Infrastructure,CMAR,Very High,Low,Standard,39982000.0,51,44,17.40909090909091,4,7,0,18,570700.0,69,6,13,5,4,1768000.0,223000.0,31.8,4,9.2,0,6,169,80,30,12.943238095238096,9.09,13.73,0.0,11.76,0.558,4.422,0.0,2,0,0,1,1,1,0,5,1,3,Yellow
PRJ-078,Northstar Community College,Institutional,Design-Bid-Build,Low,High,Fast,133597000.0,35,29,6.172413793103448,21,6,2,3,162000.0,1,9,11,4,4,559000.0,668000.0,8.75,4,5.75,0,8,110,56,7,6.3753125,72.41,17.14,5.71,25.71,0.5,0.418,0.0,0,1,2,0,1,1,0,5,1,3,Yellow
PRJ-056,Riverbend Medical Pavilion,Institutional,Design-Bid-Build,Very High,Moderate,Slow,127656000.0,32,29,21.448275862068964,3,3,0,14,511200.0,30,9,17,9,2,8512000.0,356000.0,46.55555555555556,2,7.666666666666667,0,7,135,74,20,19.208953488372092,10.34,9.38,0.0,28.12,0.279,6.668,0.0,2,0,0,2,0,1,0,5,2,1,Yellow
PRJ-049,Northstar Apartments,Residential,Design-Build,High,Moderate,Standard,35381000.0,35,29,13.620689655172415,8,6,0,9,298600.0,13,6,11,7,1,924000.0,63000.0,34.0,1,6.333333333333333,1,6,122,62,20,11.27763157894737,27.59,17.14,0.0,17.14,0.178,2.612,14.29,1,1,0,1,0,1,1,5,0,5,Yellow
PRJ-054,Summit Processing Plant,Industrial,CMAR,High,Moderate,Slow,103115000.0,41,37,15.27027027027027,7,4,0,15,899800.0,17,3,8,5,2,1437000.0,147000.0,39.2,2,5.6,0,3,121,58,15,13.003472222222221,18.92,9.76,0.0,7.32,0.143,1.394,0.0,2,0,0,2,0,1,0,5,2,1,Yellow
PRJ-030,Sunset Corporate Center,Commercial,Design-Build,High,Moderate,Fast,28294000.0,35,30,10.9,14,5,1,3,252000.0,47,5,8,7,1,273000.0,9800.0,23.142857142857142,1,2.2,2,4,104,52,12,10.285737704918033,46.67,14.29,2.86,14.29,0.035,0.965,28.57,1,0,1,1,0,0,2,5,1,3,Yellow
PRJ-003,Aspen Civic Complex,Institutional,Design-Build,Moderate,High,Standard,45069000.0,28,23,10.130434782608695,13,5,1,8,255300.0,3,8,10,9,0,552000.0,0,22.22222222222222,0,6.333333333333333,0,7,98,51,13,10.033,56.52,17.86,3.57,28.57,0.0,1.225,0.0,1,1,1,1,0,1,0,5,0,5,Yellow
PRJ-083,Sunset Corporate Center 2,Commercial,Design-Bid-Build,High,High,Fast,17645000.0,28,26,8.423076923076923,19,2,1,3,59800.0,0,8,9,6,0,163000.0,0,32.5,0,5.2,1,7,95,49,12,10.19051724137931,73.08,7.14,3.57,28.57,0.0,0.924,16.67,0,0,1,1,0,1,2,5,1,3,Yellow
PRJ-009,Granite Office Campus,Commercial,Design-Build,Moderate,High,Standard,15695000.0,18,17,9.235294117647058,9,1,1,2,89000.0,4,4,7,5,0,186000.0,0,32.6,0,4.5,1,4,65,36,8,10.94525,52.94,5.56,5.56,22.22,0.0,1.185,20.0,0,0,2,1,0,0,2,5,2,1,Yellow
PRJ-045,Pioneer Community College 2,Institutional,Design-Build,Moderate,Moderate,Standard,141695000.0,44,40,9.425,27,3,0,7,142300.0,30,5,12,10,2,1958000.0,4488000.0,26.2,2,7.5,0,6,137,71,13,9.693827160493827,67.5,6.82,0.0,11.36,3.167,1.382,0.0,0,0,0,1,2,1,0,4,1,2,Yellow
PRJ-076,Vista Marketplace,Commercial,IPD,Moderate,High,Standard,194781000.0,43,38,9.026315789473685,23,5,1,6,536400.0,47,6,11,6,4,3582000.0,5108000.0,25.166666666666668,4,4.333333333333333,0,5,135,65,16,8.722222222222221,60.53,11.63,2.33,13.95,2.622,1.839,0.0,0,0,1,1,2,0,0,4,1,2,Yellow
PRJ-088,Canyon Transit Center,Heavy Civil & Infrastructure,CMAR,Moderate,Moderate,Standard,228698000.0,35,35,9.114285714285714,20,0,0,5,74400.0,23,9,17,10,5,3716000.0,5073000.0,19.9,5,3.875,2,11,135,74,14,9.55855421686747,57.14,0.0,0.0,25.71,2.218,1.625,20.0,0,0,0,0,2,0,2,4,2,0,Yellow
PRJ-046,Riverbend Apartments,Residential,Design-Build,High,High,Standard,31286000.0,38,36,12.055555555555555,15,2,0,8,265800.0,39,6,11,6,3,811000.0,668000.0,33.833333333333336,3,4.5,0,6,120,64,11,12.104366197183099,41.67,5.26,0.0,15.79,2.135,2.592,0.0,1,0,0,1,2,0,0,4,1,2,Yellow
PRJ-033,Pioneer Apartments,Residential,CMAR,Moderate,Moderate,Standard,114252000.0,33,31,11.258064516129032,16,2,0,7,365700.0,27,4,13,8,3,571000.0,1655000.0,28.25,3,8.25,0,4,122,66,18,10.151842105263157,51.61,6.06,0.0,12.12,1.449,0.5,0.0,1,0,0,1,1,1,0,4,0,4,Yellow
PRJ-048,Vista Medical Pavilion,Institutional,Design-Bid-Build,Very High,Low,Fast,213634000.0,51,49,14.040816326530612,19,2,0,19,602200.0,77,13,25,17,3,7299000.0,2246000.0,35.529411764705884,3,4.823529411764706,0,14,202,113,25,13.703809523809523,38.78,3.92,0.0,25.49,1.051,3.417,0.0,1,0,0,2,1,0,0,4,1,2,Yellow
PRJ-035,Canyon Apartments,Residential,Design-Bid-Build,Very High,High,Standard,41279000.0,48,45,12.622222222222222,16,3,0,14,538700.0,63,5,11,7,3,623000.0,363000.0,47.42857142857143,3,2.857142857142857,0,5,149,76,20,12.579444444444446,35.56,6.25,0.0,10.42,0.879,1.509,0.0,1,0,0,2,1,0,0,4,1,2,Yellow
PRJ-053,Copper Ridge Office Campus,Commercial,Design-Bid-Build,High,High,Fast,35443000.0,32,30,8.6,20,2,0,4,514000.0,13,9,16,11,2,1610000.0,263000.0,22.272727272727273,2,4.444444444444445,2,10,129,72,17,9.000493827160494,66.67,6.25,0.0,28.12,0.742,4.543,18.18,0,0,0,1,1,0,2,4,1,2,Yellow
PRJ-031,Mountain Gate Water Facility,Heavy Civil & Infrastructure,IPD,Moderate,High,Standard,51859000.0,37,33,9.303030303030303,20,4,2,2,112000.0,27,4,11,8,2,471000.0,337000.0,21.0,2,3.625,0,4,117,59,10,9.157101449275363,60.61,10.81,5.41,10.81,0.65,0.908,0.0,0,0,2,1,1,0,0,4,1,2,Yellow
PRJ-052,Copper Ridge Retail Pavilion,Commercial,Design-Build,Moderate,Low,Standard,37364000.0,23,22,12.318181818181818,10,1,0,7,156700.0,11,6,10,6,2,616000.0,242000.0,25.333333333333332,2,7.666666666666667,0,5,84,46,9,11.608039215686274,45.45,4.35,0.0,26.09,0.648,1.649,0.0,1,0,0,1,1,1,0,4,0,4,Yellow
PRJ-079,Summit Retail Pavilion 2,Commercial,Design-Build,Moderate,Moderate,Standard,155934000.0,43,40,10.825,18,3,2,5,68000.0,11,9,14,10,2,3908000.0,577000.0,18.8,2,8.333333333333334,1,10,142,74,14,9.452352941176471,45.0,6.98,4.65,20.93,0.37,2.506,10.0,1,0,1,0,0,1,1,4,0,4,Yellow
PRJ-011,Aspen Retail Pavilion,Commercial,Design-Build,Moderate,Moderate,Standard,46836000.0,34,31,10.096774193548388,14,3,1,4,54800.0,19,4,15,10,3,1673000.0,111000.0,27.8,3,5.3,0,4,125,71,12,10.948552631578949,45.16,8.82,2.94,11.76,0.237,3.572,0.0,1,0,1,1,0,1,0,4,0,4,Yellow
PRJ-022,Frontier Urban Village,Mixed-Use,Design-Bid-Build,Low,Low,Standard,218801000.0,44,37,8.324324324324325,29,7,1,7,156700.0,14,5,10,7,2,3151000.0,403000.0,14.285714285714286,2,6.166666666666667,1,5,127,60,9,7.480821917808219,78.38,15.91,2.27,11.36,0.184,1.44,14.29,0,1,1,0,0,1,1,4,0,4,Yellow
PRJ-077,Silver Creek Retail Pavilion,Commercial,CMAR,Very High,Low,Fast,202367000.0,67,63,15.666666666666666,12,4,2,20,731800.0,60,5,9,6,1,6402000.0,309000.0,31.5,1,4.666666666666667,0,5,190,89,29,12.526666666666666,19.05,5.97,2.99,7.46,0.153,3.164,0.0,2,0,1,1,0,0,0,4,1,2,Yellow
PRJ-018,Frontier Manufacturing Facility,Industrial,CMAR,Low,Moderate,Standard,329366000.0,47,39,7.102564102564102,33,8,4,7,263200.0,21,3,9,8,1,9367000.0,150000.0,15.625,1,6.0,0,3,128,61,7,7.813888888888889,84.62,17.02,8.51,6.38,0.046,2.844,0.0,0,1,2,0,0,1,0,4,1,2,Yellow
PRJ-050,Evergreen Corporate Center,Commercial,CMAR,Low,High,Standard,176226000.0,26,24,6.125,18,2,1,5,546300.0,7,5,9,5,0,874000.0,0,14.6,0,8.0,1,6,86,43,7,7.519019607843138,75.0,7.69,3.85,19.23,0.0,0.496,20.0,0,0,1,0,0,1,2,4,1,2,Yellow
PRJ-034,Summit Retail Pavilion,Commercial,Design-Bid-Build,Moderate,Low,Slow,39832000.0,30,28,15.5,8,2,0,7,238000.0,21,5,12,11,0,89000.0,0,30.636363636363637,0,5.090909090909091,0,6,106,57,10,14.1934375,28.57,6.67,0.0,16.67,0.0,0.223,0.0,2,0,0,1,0,1,0,4,1,2,Yellow
PRJ-089,Evergreen Housing Community,Residential,Design-Bid-Build,Low,Low,Standard,28248000.0,22,21,8.142857142857142,17,1,1,3,239000.0,0,4,11,9,0,925000.0,0,18.333333333333332,0,10.125,1,6,84,47,7,8.410392156862745,80.95,4.55,4.55,18.18,0.0,3.275,11.11,0,0,1,0,0,2,1,4,1,2,Yellow
PRJ-004,Silver Creek Urban Village,Mixed-Use,Design-Bid-Build,Low,High,Standard,103276000.0,29,26,5.076923076923077,24,3,1,4,241000.0,9,6,12,7,2,2410000.0,1355000.0,15.714285714285714,2,7.571428571428571,0,7,99,54,6,7.274655172413794,92.31,10.34,3.45,20.69,1.312,2.334,0.0,0,0,1,0,1,1,0,3,0,3,Yellow
PRJ-005,Red Rock Civic Complex,Institutional,IPD,Low,Moderate,Slow,85679000.0,28,28,8.642857142857142,18,0,0,4,173000.0,19,6,8,3,4,1079000.0,1093000.0,28.333333333333332,4,6.666666666666667,0,5,86,45,6,9.6024,64.29,0.0,0.0,21.43,1.276,1.259,0.0,0,0,0,1,1,1,0,3,0,3,Yellow
PRJ-058,Mountain Gate Housing Community,Residential,Design-Build,Moderate,High,Standard,39523000.0,30,29,8.862068965517242,20,1,0,9,338000.0,3,5,10,2,5,86000.0,408000.0,19.5,5,1.0,1,4,100,55,10,8.816,68.97,3.33,0.0,16.67,1.032,0.218,50.0,0,0,0,0,1,0,2,3,1,1,Yellow
PRJ-071,Mountain Gate Marketplace,Commercial,Design-Bid-Build,Moderate,Moderate,Standard,113195000.0,32,28,10.0,16,4,1,5,135600.0,14,7,13,9,3,2373000.0,1105000.0,17.88888888888889,3,5.333333333333333,0,7,111,55,9,10.680151515151515,57.14,12.5,3.12,21.88,0.976,2.096,0.0,0,0,1,0,1,1,0,3,0,3,Yellow
PRJ-063,Canyon Urban Village,Mixed-Use,Design-Build,Moderate,High,Fast,199081000.0,39,37,6.594594594594595,30,2,0,6,503100.0,6,2,8,5,1,2839000.0,1264000.0,19.8,1,3.75,1,1,112,57,10,7.446,81.08,5.13,0.0,5.13,0.635,1.426,20.0,0,0,0,0,1,0,2,3,1,1,Yellow
PRJ-038,Northstar Neighborhood,Residential,Design-Bid-Build,Low,High,Standard,95451000.0,24,23,5.869565217391305,19,1,0,3,328300.0,3,4,10,8,2,2695000.0,326000.0,24.75,2,7.571428571428571,1,4,86,47,8,8.082692307692309,82.61,4.17,0.0,16.67,0.342,2.823,12.5,0,0,0,1,0,1,1,3,0,3,Yellow
PRJ-024,Pioneer Community College,Institutional,Design-Build,Moderate,Low,Slow,75829000.0,35,35,14.314285714285715,7,0,0,11,743600.0,43,6,16,12,1,1334000.0,196000.0,27.833333333333332,1,6.583333333333333,0,8,136,72,18,12.22529411764706,20.0,0.0,0.0,17.14,0.258,1.759,0.0,1,0,0,1,0,1,0,3,0,3,Yellow
PRJ-037,Vista Civic Complex,Institutional,Design-Bid-Build,High,High,Standard,92832000.0,35,33,11.969696969696969,16,2,1,10,249000.0,59,8,13,7,3,2129000.0,213000.0,34.142857142857146,3,4.0,0,7,124,65,15,11.776842105263157,48.48,5.71,2.86,22.86,0.229,2.293,0.0,1,0,1,1,0,0,0,3,0,3,Yellow
